,reviews,Date,Score
7,不喜歡自動，,2018年11月10日,2
13,W 13,2018年11月6日,5
0,還不錯，不要卡卡的就好,2018年10月30日,5
1,凎儲值不給元寶是怎樣，騙錢嗎？,2018年10月26日,1
4,有進步加油,2018年10月17日,3
3,感覺還不錯,2018年10月11日,5
8,妳?欸，，，爛，，，重灌後很多地方進不去，重灌很多次還是一樣，爛欸，逼我們這些會花錢的玩家退遊嗎？爛，，，，，,2018年10月4日,1
6,打活動一直斷線，火大。,2018年9月20日,4
12,帳號不見,2018年9月16日,1
17,迷上了,2018年9月15日,5
2,為什麼這次更新完，又無法登入了?,2018年9月8日,1
18,卡卡的,2018年9月6日,3
14,好玩呀…不需要憑估啦^&,2018年9月2日,5
5,一直合服，乾脆直接合到剩1服好了(-_-),2018年9月1日,1
65,爛死了，只會要錢，活動不給活動的獎勵4天了反應也沒用，反應感覺還被紫青列入黑名單，退錢……這個爛遊戲請退錢，不正常又不處理我給你4天的時間回我處理了本根本更誇張把我黑了……,2018年9月1日,1
76,我們花了錢游戲卻無法正常玩,2018年8月26日,2
11,我喜歡,2018年8月23日,5
16,好玩,2018年8月23日,5
19,讚?,2018年8月23日,5
26,請妳把一二三四五轉職升級快速這雖然輕鬆買賣道具麻煩改成金幣拜託拜託,2018年8月21日,3
9,可以的話不要有花錢的任務會更好....,2018年8月19日,4
10,非常好玩,2018年8月16日,5
281,你們更新之後所有的貼圖讓我看了很不喜歡，而且現在打王減少太多，越來越難打了！,2018年8月15日,2
15,好,2018年8月13日,4
21,為什麼我248服的帳號不見了，可是我明明有綁定帳號啊！一進去就要我重新創角，我都玩那麼就了欸，可以幫我處理嗎？,2018年8月9日,4
28,合服後為何腳色會不見就算找回來也只能玩一個角色另一個就逼玩家要放棄，那玩家玩那久的時間不就都浪費了，爛遊戲品質也不見改善，大家要聯合起來拒儲不要在當紫青的題款機了,2018年8月6日,1
46,好遊戲,2018年8月5日,5
39,儲值領不到武器,2018年7月29日,1
37,字體大很不錯，可以離線掛机玩嗎？,2018年7月27日,5
43,好玩 救醬,2018年7月27日,5
22,好玩是好玩 只是掛機解任務時 偶爾會發生 人物停著不動 還有 希望可以同個Google 帳號 不同角色 可以同時登入 我覺得這樣應該會比較多人玩吧,2018年7月25日,5
24,以前開的帳號 只有一個什麼都沒有的46級角色 ， 好友全不見了 裝備只剩下最基礎 。,2018年7月25日,2
31,如果改善一些我就給五心,2018年7月25日,4
27,我去頭像那裡，我想要換成自己的照片但我按進去的時候就閃退了又要重開(遊戲),2018年7月24日,4
25,為什麼我換手機玩後，常常玩不到幾分鍾就閃退,2018年7月20日,1
35,很久都出不來! 麻煩回覆我(ㄒoㄒ),2018年7月20日,2
45,如何從IOS平台轉至安卓??求解!!,2018年7月20日,5
40,垃圾遊戲,2018年7月17日,1
23,為什麼我要登陸的時候它給我說：合服中請稍後登陸。好多次了！為什麼沒辦法1服中再創一個腳色，麻煩給我一個解答，而且還要重創一隻角色了,2018年7月16日,1
42,還可以，但練功練好慢喔～(絕無惡意),2018年7月14日,4
51,好玩,2018年7月14日,5
52,好玩,2018年7月11日,4
50,好玩,2018年7月10日,5
20,為什麼我在131服的角色不見了 一登入就是創建新角 一進去就1等 我之前努力玩的等級不就白費? 可以還我角色嘛,2018年7月9日,1
32,場景載入失敗是三小,2018年7月8日,5
47,好玩,2018年7月6日,5
80,不玩啦！拜拜,2018年7月4日,1
38,為什麼會閃退,2018年7月3日,5
41,好玩！,2018年7月3日,5
33,為什麼我的仙府打不開,2018年7月2日,1
36,250服的角色不見了,2018年7月2日,2
49,好,2018年7月2日,5
44,剛玩十分鐘感覺還不錯。。,2018年7月1日,5
48,沒有,2018年7月1日,3
34,畫面有些會卡住,2018年6月30日,5
29,希望夫妻可以分享綁元，不然每次都超缺綁元的(哭,2018年6月29日,5
70,今天副本一直卡住我已不想給你們機會,2018年6月28日,1
30,如果我不在線上 有人留話給我 會無法保留 常常錯過重要訊息,2018年6月26日,1
71,頭貼不能換？錢也沒入？可以請問一下是什麼問題嗎？是還沒到50等都不能換嗎？,2018年6月24日,2
69,我以前在1區92服玩，但刪除遊戲後，現在下戴回來，就登錄不了,2018年6月23日,1
202,???新服？,2018年6月23日,3
73,登天塔和域外副本能掃蕩嗎？這些副本好煩,2018年6月22日,1
72,為何我另一個250服的sunny不見了還有儲值誒,2018年6月21日,1
64,在剛開始的時候，有一個問我同意隱私甚麼的但確定跟取消合在一起要我怎麼按啊,2018年6月20日,2
685,免洗遊戲,2018年6月18日,1
61,現在怎麼樣我是275服灼熱冠宇升階丹每天一直買就一直扣掉是怎麼樣？ 在聲望買就一直扣連續好幾天？請快處理好嗎？每個升階丹都扣是不好太跨張嗎！,2018年6月17日,1
74,希望綁元可以共享，不然一下就沒綁元了,2018年6月16日,2
83,非常好玩,2018年6月10日,5
57,昨天早上到下午還可以玩 晚上要開 就不能玩了 重新下載了 也不能 麻煩處理一下,2018年6月5日,2
78,為何無法與Google Play連結,2018年6月5日,5
91,好玩,2018年6月5日,5
