,reviews,Date,Score
0,我今天臉書登錄完全不能登,2018年12月27日,3
1,更新完 頂卷少一半 爛,2018年11月29日,1
2,登不進去快處理好嗎,2018年12月27日,3
3,常常會卡住 要重開,2018年12月22日,3
4,美術設計得細膩. 團隊很用心,2018年11月30日,5
5,遊戲為什麼需要多媒體跟電話權限,2018年12月20日,1
6,升級不用的裝備可以開放賣出回收銀子嗎？,2018年12月26日,4
7,值得推薦！,2018年11月29日,5
8,這真是一個很好玩的遊戲,2018年11月30日,5
9,找到我喜歡的塔防遊戲了,2018年12月5日,5
10,rm0e3y歡迎輸入我的邀請碼,2018年12月22日,5
11,遊戲不錯玩，但是這幾天為什麼我不能玩? 可以改善嗎?,2018年12月27日,4
12,好玩~不用花錢都可玩得很開心的遊戲,2018年11月30日,5
13,我的邀請碼1e0b1s，一起拿獎吧,2019年1月2日,5
14,網路超不穩 爛透了,2018年12月7日,1
15,"不知為何需要通話權限,不給權限就關閉,不如直接刪了..",2018年12月21日,2
16,為何FB帳號登入不了,2018年12月27日,4
17,開個遊戲要開幾百次？整天卡在90%，到底何時才修復bug？？,2018年12月13日,3
18,"输入邀请码k0ewtu,一起拿奖品吧。",2018年12月22日,5
19,活動千篇一律，都不會改，儲值儲值儲值，儲越多就越強,2018年12月29日,1
20,玩法很多樣，不會無聊的遊戲,2018年11月29日,5
21,還不錯玩，但還有些bug，請趕快抓,2018年11月29日,5
22,後宮玩樂還可以提升能力!!讚啦!,2018年11月30日,5
23,元寶給得很大方，大推,2018年11月30日,5
24,殺時時的小遊戲，邀請碼：nusxs7,2018年12月24日,5
25,為什麼突然不能用臉書登入了？！,2018年12月27日,3
26,每天上線，mrkabd,2018年12月27日,4
27,怎突然間不能登入…,2018年12月27日,2
28,為什麼更新後我登入不了？,2018年11月29日,1
29,等想到在寫,2018年11月29日,4
30,b3fxyx 好友優惠,2018年12月20日,4
31,一直當機,2018年12月21日,1
32,為啥登錄白屏啊,2018年12月27日,3
33,"儲值此遊戲的消費者要小心,儲錯金額或是誤按金額,都不會允許退款!!寄Mail給開發人員或是跟FB的粉絲團小編聯絡,他們永遠只會說已經到帳無法退款!然後時間拖了又拖,從本來48小時以內就申請退款到2個禮拜依舊是一樣回答,所以消費者要儲值此遊戲時請務必小心,只要有關他們的損失一概是敷衍過去!只有有利於他們才會理會!然後跟Google客服聯絡他們又只會要求消費者跟開發商聯絡,然後開發商又會叫消費者去跟Google聯絡,就這樣不停的循環敷衍!真的千萬要小心這遊戲,對消費者一點保障都沒有!",2018年12月3日,1
34,畫的好醜,2018年12月1日,1
35,不錯玩,2018年12月8日,5
36,好玩,2018年11月29日,5
37,bjzbnf,2018年12月26日,5
38,。。。,2019年1月2日,5
39,連接不上臉書是？？？,2018年12月27日,4
40,課金比例太高啦 沒技術可言 有金就是王道 買道具的元寶價格高到嚇死人,2018年11月27日,5
41,操作很順，不會不知道要做什麼，任務很多，主線支線交錯，感覺永遠解不完，介面蠻清楚的，也會適時有提示箭頭，很貼心的遊戲,2018年11月6日,5
42,運用三國時代的背景人物，讓遊戲更增添趣味，有些不太熟悉的人名我還特別去查了他們的歷史故事呢！,2018年11月6日,5
43,武將諸葛亮超帥，在三國時期就是智慧的象徵，有諸葛在手，敵人等著輸吧！我要趕快合成諸葛亮！,2018年11月6日,5
44,整體讓人超有臨場感，不論是背景還是角色，甚至配音配樂都讓人很投入其中～一直有下一個任務銜接，玩不膩的遊戲～,2018年11月8日,5
45,怎麼沒有0顆星能評,2018年11月6日,1
46,玩沒兩下進度表就不動了，跳出來後就再也進不去，挺不錯的遊戲還有辦法開到116個伺服器，給它一萬個讚，好棒棒啊,2018年11月6日,1
47,買了超多時裝 就為了每天都能夠換外觀XD,2018年11月20日,5
48,看到敵人一起往前衝，自己再善用陣容看時機放技能，把敵人而一舉殲滅很痛快，不過有時快被攻陷還真的會很緊張QQ,2018年11月6日,5
49,Bug三國志，官方活動出問題，直接開玩家的帳號亂搞。,2018年11月21日,1
50,經典的塔防玩法，可愛逗趣的武將人物,2018年11月6日,5
51,看到塔防跟三國的組合先下載一波，真的好玩,2018年11月6日,5
52,官方詐欺行為直接收走玩家背包中物品,2018年11月20日,1
53,遊戲跟本開𣎴了 點就全黑畫面,2018年11月27日,1
54,"每週一bug, 這次直接影響遊戲平衡, 有用到的人直接超前3個月進度。官方無作為",2018年11月18日,1
55,什麼都要VIP，課金GAME. 一堆看就知道是自己人的洗白評論，拜託演好一點,2018年11月9日,1
56,為了我的後宮，我每天都會爬上來跟她們培養感情,2018年11月20日,5
57,一分享遊戲就自動關閉，根本沒辦法分享，反應好幾次也沒解決，用fb問反應問題也沒人理，只顧著收錢不處理事情,2018年11月19日,1
58,遊戲廠商儲值內容多次有問題，還不願意刷退給玩家，bug一堆，有如詐欺,2018年11月20日,1
59,看朋友玩成那樣 我就也來玩玩看了~,2018年11月20日,5
