,reviews,Date,Score
0,卡在勇氣熟練是怎樣，完全不能動，主線任務欸，不能做遊戲怎麼繼續玩下去,2017年6月22日,1
1,不能上傳照片 很容易閃退 遊戲不錯玩 希望可以更好,2017年6月22日,3
2,請問遊戲內是否可以新增指定賣家購買 或是以郵寄方式貨到付款 不然轉給朋友或是分身的物品都會被惡意玩家搶走,2017年7月30日,1
3,遊戲玩法豐富不會像很多類似遊戲一樣玩久會無聊 只是家族裡能做的事太少了希望新增多一點家族活動 大推這款遊戲,2017年6月30日,5
4,會一直閃退 破壞遊戲體驗 如果有改善才給五顆星,2017年6月28日,1
5,在破主線任務的時候已經跑過的路線會一直重複跑像鬼打牆那樣遊戲不錯玩角色也很好看唯獨這點請改善謝謝!,2017年6月24日,3
6,基本上玩得都還不錯、只是… 請問明明網路沒問題、卻一直顯示資料更新失敗 麻煩一次更新可以更新好一點嗎 一直出包,2017年6月26日,3
7,不讓玩家花錢不甘願？  說什麼很多都免費   笑死人,2017年6月21日,1
8,想說要回來玩，但是卡在試煉沒辦法點人，切心了,2017年6月22日,1
9,不要玩這遊戲 發生問題後發電子郵件沒人回應的 如果還不回覆 會追究的,2017年7月2日,1
10,這個遊戲非常的好玩還可以結婚也可以當好朋友但是有的BOS很難但是你們應該覺得很好玩吧!,2017年6月30日,5
11,說會閃退的 卡頓的 通通都是你們手機爛 我三星舊的J5怎不會 舊的欸,2017年7月20日,5
12,不知道為什麼公會任務明明沒有解卻一直說已完成沒刷新是怎麼樣…,2017年6月27日,3
13,大家可以不用留言了 這種機器人式的回答 勸大家早點刪遊戲吧～,2017年6月30日,1
14,一直卡在同一個畫面，動不了  也發不了攻擊  以前不會這樣 現在越來越頻繁,2017年7月2日,1
15,無言以對，看了評論一堆人都是卡卡的問題，連我也是，進遊戲就是卡卡卡！到底卡幾點的？你們到底有沒有處理卡卡的問題？卡成這樣怎麼玩？,2017年7月3日,1
16,為什麼我一用上傳相片就會一直回到遊戲開始的畫面啊,2017年6月24日,5
17,能不能每天都送金幣啊… 金幣管道難得… 剛開始很好玩… 更新後沒有送金幣… 身邊的朋友們都快玩不下去了啦……,2017年7月28日,4
18,居然被avast防毒判斷成惡意軟體,2017年6月21日,3
19,好玩但是如果加弓箭手職業的話那就更好了,2017年6月26日,5
20,遊戲畫面順暢，角色華麗，線上多人不必擔心單機遊戲，任務活動多。,2017年6月22日,1
21,遊戲中 訊號滿格 卻會出現連線中斷 連結超時 希望能改善,2017年6月30日,4
22,可以改善一下閃退嗎 這樣玩不起來,2017年6月26日,1
23,網路沒問題但更新時說資源更新失敗，請檢查網路。,2017年6月26日,3
24,一直說網路不穩，但是卻沒有阿，其他遊戲都可以玩就你們家遊戲一直網路不穩,2017年8月13日,1
25,訊號4G還跟我說訊號不佳，資料更新錯誤……還讓不讓人玩？,2017年6月26日,2
26,開不到 重新啟動也開不到 快点弄一弄 如果用弄的話我會給你們5星,2017年7月13日,1
27,遊戲不錯玩但是儲值方式有點少沒辦法直接網頁儲值好麻煩,2017年7月5日,3
28,太誇張了啦  好不容易結婚條件都不符合  結果冒出5百萬是怎樣....  錢又不是說很好賺,2017年7月5日,1
29,儲值了1.2000結果前幾次更新後遊戲都打不開 可以退錢嗎有夠傻眼,2017年8月5日,1
30,伺服器：水瓶，為什麼才過沒幾天原本公會在第9名但是突然就有人衝到1、2、3名，原本ㄉ前三名都掉到後面，刪我留言？？,2017年8月26日,5
31,更新後連拍賣場都要強制儲值才能買東西,2017年6月23日,1
32,很迅速解決我的儲值問題，遊戲本身很好玩多元，會想繼續玩滴,2017年7月19日,5
33,請問為什麼我不能在遊戲裡發言？要重新下載後才可以發言，但是隔天又不能發言了,2017年7月31日,4
34,驚喜禮盒希望可以改成用金幣開啟,2017年6月28日,3
35,遊戲退出，重新進去會要我們重玩請改進這一點,2017年7月10日,3
36,公會戰是要不要修好一點 一直卡怎麼打,2017年7月28日,1
37,有的時候會閃退，但不常，真正的問題是當機～～還有一堆bug~~以及許多的屁孩和幽靈玩家～～～-_-#Orz 求改進～,2017年7月3日,3
