,Date,Score,reviews
2,2017年10月14日,3,有時遊戲很lag希望可以改進 然後愛心助力免換商品可以增加
6,2017年10月24日,1,本來玩的就很不爽 …更新完後不能上更不爽
15,2017年10月2日,4,請問怎麼儲值
31,2017年10月4日,4,希望有退出遊戲 要不然打好幾回和都贏不了
7,2017年10月7日,1,可以有刪除人物功能嗎
19,2017年11月14日,5,神遊戲，讚
705,2017年11月19日,1,慎選，有錢就是一切。
8,2017年11月19日,5,希望增加 盟友 的聊天頻道
9,2017年11月25日,1,遊戲越來越爛，一直卡，狂閃退，這樣根本沒辦法玩，爛遊戲
20,2017年11月3日,2,無法登入
11,2017年11月4日,1,三星平版不能玩
13,2017年11月7日,2,怎又進不去啦。才回歸又進不去。
12,2017年11月7日,1,請改善無法登入問題
23,2017年11月8日,4,希望40級就能有坐騎了......
18,2017年11月9日,1,遊戲進不去 怎麼玩？
688,2017年1月12日,5,很喜歡 一整個就是日系風格的遊戲，人物也很細膩，希望可以加進去紙娃娃系統會更好！
695,2017年1月12日,5,超可愛動漫遊戲 連平時不玩手遊的我，都被他可愛的畫面吸引了，尤其是這遊戲還有可愛寵物，不知道還會有那幾種寵物，繼續玩下去就知道了~值得推薦給大家唷
766,2017年1月12日,3,可以下載了 好玩再加星XD
722,2017年1月12日,5,超好玩的遊戲 可以補捉超可愛的寵物去進階寵物，大家快來一起玩
720,2017年1月12日,5,好玩有特色 多種角色可選還有寵物系統臻棒！推薦給大家。
763,2017年1月12日,5,遊戲風格很棒，很流暢適合個年齡層，上手的新手教學
700,2017年1月12日,5,寵物可以再增加嗎？還有希望未來可以隨意更換武器外型，比如錘子換成鐮刀，但是能力不變
723,2017年1月12日,2,儲值 無法電信付費 一直跳出商店崩潰的訊息
724,2017年1月12日,5,好像熱血漫畫 喜歡畫風，讓我想到小時候會看的漫畫們
761,2017年1月12日,5,不錯 角色蠻可愛的，而且可以直接對話的功能特別，雖然常常聽不懂@@
727,2017年1月12日,5,可愛 遊戲風格走漫畫風人物挺可愛的我喜歡
681,2017年1月12日,5,好玩有特色 多種角色可選還有寵物系統臻棒！推薦給大家。
729,2017年1月12日,5,日系卡哇一 可愛的寵物，唯美的畫風，讓人不自覺的一直玩下去
728,2017年1月12日,4,如果的世界 這款手遊好多熱門的動漫人物，燃起動漫魂拉&gt;&lt;
702,2017年1月13日,1,吵 除了一進去就有人吵，明明沒人理他，現實的邊緣人遊戲這樣刷存在感的，還有廣告真他x吵
680,2017年1月13日,4,還不錯玩的遊戲 只是它有點卡卡的  還有它會斷線  上次跟同公會的一起運就我們5個同時間   全斷線  希望這一點改進
691,2017年1月13日,1,吵死了，，， 才剛進去玩就一直聽到語音一堆香港人在對談還唱歌，也不知道怎關 好吵好吵，遊戲音量都關了 還是聽的到他們在唱歌，抱歉 太吵了玩不下去
725,2017年1月13日,4,"自動播放語音 希望能一開始就取消自動播放語音,新手教學的時候聽到語音覺得很吵"
690,2017年1月13日,1,除了少數幾個夥伴有不同的技能外 其他全部一樣 連能力值也全部相同 完全沒有特色可言 這設計也太懶了吧
704,2017年1月13日,3,戰鬥也太慢了 玩法跟聖鬥士一樣，戰鬥模式跟魔力寶貝一樣，但卻沒2倍速，戰鬥超慢，讓人沒耐心玩
692,2017年1月13日,3,這遊戲可惜了 如果組隊改成2人讓2人可以上場全角色夥伴 戰鬥多個3倍速 會好玩很多
762,2017年1月13日,1,就什麼都要錢 要強花錢就對了
721,2017年1月13日,1,畫面到處都是儲值和Vip的遊戲 免洗遊戲套上大師的名字還是免洗遊戲 掰囉
697,2017年1月13日,3,語音的部分 很好玩的一款遊戲，但是會一直聽見別的香港玩家的語音，我不是很喜歡卡掉背景音樂然後聽人家講話= =
790,2017年1月13日,3,平版希望可以下載 因為我要玩但裝置不服
734,2017年1月13日,5,希望可以趕快和中華連線 讓中華也可以線上扣款
685,2017年1月13日,3,別浪費錢了 玩30分鐘就差不多了，全角色技能都一樣，只有職業的差別跟造型不同，其他一點變化都沒有…
787,2017年1月13日,1,儲值了沒東西阿 吃錢嗎 儲了不見鑽石
736,2017年1月13日,1,廣告 這遊戲也打太多廣告了吧，看個影片一直出現
693,2017年1月14日,3,那個奧語是怎樣? 為什麼玩到一半會出現別人用奧語在聊天的聲音，而且就因為這個語音導致我的音樂都沒了！而且還找不到關掉的按鈕!
696,2017年1月14日,3,還不錯玩 蠻好玩的但是我的人物有點跑不太出來，讓我有時候不知在和誰對話，副本打完沒
732,2017年1月14日,1,首儲獎勵有問題 寫送40橘武怎麼領到的卻是20橘武咧
745,2017年1月14日,4,"儲值的相關問題 這遊戲是難得一見的手機大作，遊戲性豐富，音樂優美，讓我在不知不覺之間忘卻了時間的流逝。但我有一個問題，我一開始只想試玩看看，所以我選擇用快速創建的帳號進入遊戲，後來因為想儲值的緣故，所以我把遊戲帳號“先綁定google的email"" ，再綁定手機號碼，然後點儲值的介面，發現我只能透過google錢包進行儲值了，但那要透過美金換算臺幣，我不想這麼麻煩，請問有選擇儲值管道的選項嗎？亦或是有合作的儲值卡可以買嗎？ 希望能得到回覆&gt;_&lt;"
726,2017年1月14日,4,儲值 很好玩，但可以多個mycard儲值管道嗎？不然沒信用卡的就不能儲值了
748,2017年1月14日,4,我在同一個場景裡面會看不到我朋友耶，請問是什麼問題
769,2017年1月14日,5,S7 何時會開新的伺服器 能夠 提前通知嗎都幾點開
684,2017年1月14日,5,遊戲閃斷 錢已經花下去了，確是一直斷線跳出，我網路正常，其他遊戲都沒這種狀況，唯有這個遊戲如此，希望快改進
760,2017年1月14日,5,好 寵物很可愛 就為這個來玩的
789,2017年1月14日,1,這遊戲一堆屁孩在語音  尤其是香港馬國的
686,2017年1月14日,1,寵物放生及橘色武器分解都須驗證碼？可惡是每次一輸入驗證碼，按放生或分解它就跳號還說我驗證碼不正確😠😠，按了一整晚超不爽的。更新也一樣
774,2017年1月14日,1,負面評價真高 下載完整個直接砍掉
687,2017年1月14日,3,待加強 技能變化有點少   職業希望可以更多元 職業的技能只有５個希望可以更多 例如法師可以全體攻擊 HTC６２６會閃退    希望可以不要那麼依賴任務升等
759,2017年1月15日,4,閃退 早上好好的 剛剛開突然登不進去 是我手機出問題嗎Orz
733,2017年1月15日,1,抄襲超太大 這根本就是魔力寶貝八 連音樂都是抄寶可夢 天啊
791,2017年1月15日,5,請問一下 可以讓還沒結盟的人加入現有的結盟裡面嗎(未滿五人)
701,2017年1月15日,2,入坑心得 遊戲整體算是精緻，畫風很好聲優陣容也很棒，但是遊戲主線配音不全倒是很大的敗筆!  遊戲除了主線任務外基本都是掛機模式，自由度實在不高!
703,2017年1月15日,1,欠債還錢 儲了990的成長禮包，信用卡也扣款了，但卻沒有拿到禮包，系統內也沒有可以反應問題的地方，這樣如何要消費者繼續支持！
683,2017年1月15日,1,新手競技排名上升都沒給鑽，武道會12:30之後就不能匹配，活動不是到40分嗎？ 10分鐘讓人乾瞪眼
751,2017年1月15日,3,夥伴技能 夥伴幾乎只會放同一招技能，如：榮譽領主安東尼只會放真空斬其他三招我都沒看過他放過。
689,2017年1月15日,5,真的很好玩哦   不用花點也可以拿到漂亮的武器跟高等級寵物   開心   但希望自己的劍士夥伴可以不要只會用一個技能哈哈哈
795,2017年1月15日,5,由我最愛的動漫風格做出來的遊戲這個遊戲讓我玩的愛不釋手♥
768,2017年1月15日,1,浪費時間 戰鬥速度慢也無法跳過，連競技場也無法跳過
775,2017年1月15日,4,愛閃退 有時候打關卡打到一半就閃退
731,2017年1月16日,3,不能登錄一直重來登錄畫面不給登還會斷線請改善拜託
682,2017年1月16日,5,廣告打太大了啦！ FB Yoytobe 一直出現 整個腦海都是……sa gu you ma nei…………(好啦 抓來玩玩)
797,2017年1月16日,4,綁定帳號 我用fb登入後是不是就沒辦法綁了?
785,2017年1月16日,3,不能用點卡買禮包嗎 為什麼不能點卡買禮包，可以開放嗎，我也想買成長包跟其它禮包，可以開放嗎，點卡也是錢啊
707,2017年1月16日,1,"PVP 明明有競技場,也有武鬥會..卻把打SS寵材料的地方放在PVP地圖. 我們些這比較晚進遊戲的人,每組次去隊..都會被一些高端玩家PK..遊戲是用來休閒的,不是找氣...果斷離坑..."
742,2017年1月16日,4,服出這麼快，前面服的都快變死城了，每日任找組有多難找 公會只剩幾隻貓死撐貢獻 升三級大概是無望  唉..
699,2017年1月16日,5,建議預設的世界聊天功能默認取消勾選，免得惹民怨XD希望聊天視窗可以隱藏或是調整文字色彩，有點太花俏而且擋螢幕，其他都還不錯
779,2017年1月16日,3,"真心建議戰鬥設定自動模式後,可以有個加速鍵"
778,2017年1月16日,4,還不錯。 這種2次元的遊戲做的太好了，不過有時很卡
694,2017年1月16日,1,卡死 要進入介面直接卡95% 想說吃完飯在來看 都一個小時檢查更新還是95% 網路也滿格
755,2017年1月16日,2,閃退 我選伺服器完要進入遊戲介面時 加載到一半就閃退 請儘速解決
765,2017年1月16日,5,好玩 如題 在公會認識很多朋友ww
