,Date,Score,reviews
539,2017年10月10日,5,很好玩
444,2017年10月13日,3,打一槍就死，每一場被封門
417,2017年10月13日,4,牌位似乎成了比誰槍厲害 跟本打不過VIP玩家 更何況還組隊 只能等輸
446,2017年10月13日,3,遊戲途中場景一直不斷的重複跳跟本就玩不了
498,2017年10月13日,5,很好玩我還有新的武器
465,2017年10月14日,4,我跑到一個地方他又傳送回去
481,2017年10月14日,5,請問據點爭奪在哪裡呀？我都找不到
473,2017年10月14日,4,玩起來像穿越火線可是可以大更新有生存模式
459,2017年10月15日,3,怎麼選擇角色性別？試過好幾個帳號重新玩都沒有可以選擇性別的選項
468,2017年10月16日,5,可以出進擊巨人模式嗎？雷霆突擊都出了
426,2017年10月17日,2,小弟玩的時候只要一點網速不穩就一直無限輪迴(一直跑回去同樣的地方)，讓我真的想QAQ，希望遊戲團隊可以改善細部。
441,2017年10月17日,3,沒據點爭奪的模式，可是新兵營卻有這個任務
423,2017年10月18日,1,網路問題 重點是網路沒問題阿 fb登錄也沒問題阿 重點是用競時通登錄說網路問題 在重申一次【網路沒問題，fb能進】
401,2017年10月18日,3,是很好玩沒錯，但是對網路要求極高，只要稍微不穩就會無限輪迴，一直在原地，另外就是現在除了玩模式可以領國旗換獎品的活動，但是一大堆屁孩就明明在線卻惡意掛機只為了拿國旗，每次都害到隊友，希望可以改善這部分
449,2017年10月1日,3,鑽石能多給一些嗎，而且在更新後經常回到原點  （ samsung a7 2016）
690,2017年10月1日,5,非常好玩 全民槍戰才不像你們這麼大方呢
477,2017年10月1日,1,無腦槍越來越多 難過
405,2017年10月1日,3,我花了150鑽去抽冰狼 結果卡住 什麼都沒有 希望能補償
523,2017年10月20日,5,哈囉～G社總部到底開了沒啊？
544,2017年10月20日,5,很好玩
599,2017年10月20日,5,is good
545,2017年10月21日,1,打排一直輸
595,2017年10月21日,5,沒朋友一起玩怎麼辦??😭😭
524,2017年10月21日,1,好爛喔。。槍都不會痛。每次都被有錢人虐。
482,2017年10月21日,4,好玩，不過槍種有點少
537,2017年10月21日,1,不行由客登錄
520,2017年10月21日,4,好玩，不過槍種有點少
525,2017年10月22日,1,更新都不能玩了
419,2017年10月22日,3,能不能人數湊合好再讓比賽開始啊，尤其是爆破人數少實力又差太大怎麼打？
603,2017年10月22日,5,遊戲質感和真實性還不錯 除了步槍不好控制和狙擊槍開鏡有點困難 其他的都很不錯
598,2017年10月22日,5,Good
505,2017年10月22日,5,請增加生化地圖的數量太少了，而且每次更新一次生化地圖，舊的地圖就會不見
493,2017年10月22日,1,外掛作弊的一堆，有舉報也對他們沒影響
464,2017年10月22日,1,小米mix2進遊戲完全無法動作，麻煩修正
491,2017年10月24日,1,這遊戲沒檢舉功能
411,2017年10月26日,1,外掛一大堆，動不動就會遇到自瞄透視的，不然就是混戰一出來自己和同隊的被機槍同時爆頭，檢舉也沒用，要人怎麼玩
418,2017年10月26日,1,垃圾遊戲， 打排位對面的人就像外掛一樣不停 虐殺， 系統匹配給我的隊友就像垃圾一樣，一直送頭， 本身打團競還可以， 一打排位就像垃圾一樣， 我答應自己以後也不會玩
541,2017年10月26日,5,我希望我有神槍
490,2017年10月27日,1,爛遊戲，我女友每天不停的玩，都不理我
440,2017年10月27日,5,我每次都抽到裝被箱幫我改善
478,2017年10月28日,4,這遊戲傷害還是太扯了布槍一發秒人的都有
506,2017年10月28日,5,我感覺很好好
479,2017年10月29日,5,超愛 好評 不解釋=) 只是還蠻希望生化出新地圖
528,2017年10月2日,1,有錢就贏啊，玩什麼
415,2017年10月30日,2,一直閃退來亂的嗎一直死剛開始一個禮拜都不會有這情形到後面越玩越爛
597,2017年10月31日,5,Good
409,2017年10月31日,1,明明抽到5鑽石卻沒拿到，這好幾次了今天還發生2次
410,2017年10月3日,5,"SCAR-L的彈匣應是30發,但本遊戲的SCAR-L卻是SCAR-H的20發,可以修改一下嗎?!"
566,2017年10月3日,1,😤😠😤😤😤😤😤😤😤😤😤😤😤😤😤😈😈😈😈😈😈😈😈😈 可惡
748,2017年10月3日,4,禮物要多點
593,2017年10月4日,5,棒棒糖
522,2017年10月4日,1,操   爛遊戲
448,2017年10月4日,1,網路滿格還一直lag 沒本事搞遊戲別開來讓人火
451,2017年10月5日,2,儲值了520鑽卻一直沒有拿到，請回覆處理
768,2017年10月5日,2,地圖要換
445,2017年10月5日,5,好玩，希望鑽石可以每週給100顆
485,2017年10月5日,3,越來越多加速外掛，希望有人處理一下。
406,2017年10月6日,1,馬的我一直題出帳號被盜一直沒回應61等Vip8一世邪風，無外掛
518,2017年10月6日,5,好玩 一場短短的 無外掛手機版AVA
791,2017年10月6日,5,很好玩
413,2017年10月6日,1,不要臉  模仿CSO 加上槍很難抽到強的槍 我已經連抽30抽都不給我抽到一把永久槍  一個字好爛人遊戲喔
503,2017年10月7日,4,網路明明沒問題就一直進不去
487,2017年10月7日,4,為什麼我要玩排位，我按他他就說，我用模擬器，所以不能玩
452,2017年10月7日,5,殭屍模式有時候瞬間不見突然自己變殭屍，不過還是給五星
454,2017年10月7日,5,只要是garena我都打五星
429,2017年10月7日,5,跑動就閃，這個是啥原應，可以說一下，一直逛附活起來，超狂回碩，也不改善一下，等有改善了，在給五顆星
484,2017年10月8日,1,別人都一槍秒殺，我都不能一槍秒殺
632,2017年10月8日,3,我希望这个哦吽系能像全民枪战的话我觉得咦定会有艮多人玩
494,2017年10月8日,2,我玩到現在抽轉盤都沒中槍，花了那麼多鑽石也沒用！！
501,2017年10月9日,5,希望可以體驗神槍
402,2017年10月9日,5,非常好玩，不像全民屁孩動不動就踢人，這款遊戲很真實，非常好得分數，成就很容易，戰力輕鬆練，很棒喔！加油！
428,2017年10月9日,4,希望多送永久槍 VIP玩家的槍太op了 我們免費玩家敵不過 多送永久物品
588,2017年11月10日,5,好玩
407,2017年11月10日,3,這遊戲不會用遊客登入是不是啦不過我用其他手機玩不錯玩   你娘雞擺用個遊客登入又不會屎腦包哦
456,2017年11月10日,1,遊戲倒了只能不要怪別人 排位永遠都排槍神 打屁
422,2017年11月10日,5,讚 超讚 佛心公司 突然我無聊的在抽免費的鑽石一抽 結果 就中了m249奪魂鋸啊!~~真是太爽了
430,2017年11月10日,3,這遊戲儲值金額都萬的了，但越來越不想儲值，感覺越來越怪，連遊戲幣的L8機槍都可以橫掃，那儲值都傻子！
492,2017年11月11日,2,不課金很難玩
502,2017年11月12日,3,撿槍之後只能打一發之後就一直抖**
516,2017年11月13日,3,象神狂鳴根本是无敌，要把象神狂鳴的伤害减少，最少要減到大約200伤害。
536,2017年11月13日,5,是否會出龍槍呢?期待!
404,2017年11月13日,5,我覺得好爽啦已經打過世的私處列車什麼給我吃小強
450,2017年11月13日,1,狙擊槍高低差太多了，明明都比對手早開，卻被殺
469,2017年11月15日,1,平橫很差，血量100 一把攻擊力33是要打3小
421,2017年11月15日,1,k槍枝平衡破壞不說，對於習慣手動的玩家得跟那些只會自動開火的玩根本無聊到爆，建議手動模式和混合模式地圖可以一樣多可以嗎？
499,2017年11月16日,4,如果更新 “可以買東西送別人” 就更好了！
416,2017年11月16日,2,我很幸苦才有100鑽，但是我抽狂鯊抽蛋機抽鑽石卷。垃圾遊戲!!!  444444444444444444444444444444
546,2017年11月17日,3,好玩，但寶石突然變成？？？然後不能再買東西！很有問題！
475,2017年11月17日,5,現在的武裝跟以前武裝不太一樣了，他們的槍有很多可以選擇，而且又出新的槍😉
586,2017年11月17日,2,我的鑽石變成？？？請問是怎麼了
587,2017年11月17日,2,我的鑽石ㄋ？呈現問號？？？ 可以修復嗎
427,2017年11月17日,1,我覺得挑戰打太高分也沒用 在最後面不幫忙的獎勵都比高分的好 是在? 然後槍也出太快 更本坑
471,2017年11月18日,1,卡到爆，滿格WiFi玩生化在高台突然閃到地下變屍
408,2017年11月19日,5,一直有人搗亂檢舉了沒在管  那檢舉有屁用喔一個好好的遊戲被用成這樣那要怎樣玩啦!  拜託看一下檢舉內容好不好
480,2017年11月1日,1,把武士神功刪掉
424,2017年11月1日,2,遊戲上面就是討厭操作，你們操作能跟全民一樣順我就真的會愛上武裝，其他模式什麼的我都接受 可惜操作不是很順 刪遊…
556,2017年11月20日,5,非常好玩
474,2017年11月21日,4,好多一槍秒人的，玩到只能拿閃彈跟對方拼了
460,2017年11月21日,3,為何無法用fb登入，會顯示登入錯誤2018
585,2017年11月22日,5,很好
509,2017年11月22日,1,不讓我走動跟移動視角
489,2017年11月26日,1,"Pay To Win, Rubbish Game"
584,2017年11月29日,5,好玩
366,2017年11月29日,5,雖然以前的地圖被移除了 而且有些槍枝改弱很可惜 不過非常適合無課金玩家玩 尤其是免費轉蛋也能抽中大獎xddd 超愛你們
553,2017年11月29日,5,場地可以在多一點嗎？
547,2017年11月29日,1,根本糞遊戲，哪裡有平衡？！
439,2017年11月29日,5,真的不錯的手遊，是不是也設計一些關卡獲得獎勵的模式，不然只有跟一堆高手對戰打久也是會膩
542,2017年11月29日,5,好正~ 玩到手吾停！
583,2017年11月29日,5,好玩
378,2017年11月29日,4,遊戲很好玩 可是有些玩家素質不是很好 希望能有禁語某玩家或是黑名單等設定 謝謝
384,2017年11月29日,5,狙擊時後座力會有點卡
554,2017年11月2日,5,good ！
582,2017年11月30日,5,好玩
581,2017年11月30日,5,好好
488,2017年11月30日,5,不氪金就可以變強，超棒
559,2017年11月30日,5,還不錯啊
549,2017年11月30日,5,我绝的可以
619,2017年11月30日,5,不用課金就可以玩很強 推薦大家 但是因為太好玩了 害我忍不住去儲了 幾千元 感覺值得
558,2017年11月30日,5,方便好玩
538,2017年11月30日,4,為什麼更新無法安裝
463,2017年11月30日,5,就算沒花錢也能玩的很好，很棒的遊戲
500,2017年11月30日,5,這個遊戲非常好玩，我很喜歡喔!
515,2017年11月30日,5,希望能增加一種野外求生的模式，拾起武器生存的模式
514,2017年11月30日,5,還要再住一個全民 錢民槍戰的那一種
580,2017年11月30日,5,好玩
513,2017年11月30日,1,原來給一星，現在也是
508,2017年11月30日,5,有國中打CS的感覺，棒
579,2017年11月30日,1,Good
574,2017年11月30日,5,好玩
470,2017年11月30日,5,棒！不用課金也可以有神槍^_^下面那個一世邪風，記得我嗎？槍焰
379,2017年11月30日,4,不錯，但有bug，我同學跟我說他被打都不會死
438,2017年11月30日,5,3抽免費鑽石轉蛋爽中奪魂鋸，八抽中巴卡祖，而且認識許多好朋友，我推薦這款遊戲，適合新手遊玩，讚！
370,2017年11月30日,5,更新後鑽石轉彈變0，能把鑽石轉彈變回48嗎？拜託
596,2017年11月3日,4,為什麼會一直閃退...
691,2017年11月3日,5,沒花錢 也能 抽到 奪魂鋸 爽
462,2017年11月4日,1,為什麼我都首儲了卻沒拿到ak
594,2017年11月4日,5,不錯
551,2017年11月4日,5,為什麼沒辦法用電腦玩?  要怎麼用電腦玩?
771,2017年11月4日,5,啃，太好玩rrr
552,2017年11月5日,2,真TM
476,2017年11月5日,3,地圖太少 多增加些 例如叢林戰，或是在大馬路上那些！
526,2017年11月5日,5,台幣夠就能贏
517,2017年11月5日,3,地圖太少 多增加些 例如叢林戰，或是在大馬路上那些！
511,2017年11月6日,5,遊戲品質不錯 內容佳地圖多
443,2017年11月7日,1,虽然不错玩 但 系统 耗电率 异常 …  能否修正下？
548,2017年11月8日,2,散彈槍太ㄎㄅ
472,2017年11月9日,1,科技轉蛋就繼續搞 看會讓多少人氣到退
591,2017年11月9日,5,😃😃😃😃
461,2017年11月9日,3,什麼時候才要出狙擊跟殲滅模式
576,2017年12月10日,5,Indeed
268,2017年12月10日,3,PVE有BUG請修改！一
271,2017年12月10日,1,HTC U11+完全無法移動與開火
245,2017年12月11日,5,比那什麼他x的全x槍戰好玩很多，只是轉蛋抽到的機率可以高一點嗎？，而且我希望可以送好有槍……
386,2017年12月11日,5,超級無敵好玩
287,2017年12月12日,1,最近一直閃退
323,2017年12月12日,1,最近一直閃退
253,2017年12月13日,1,就是一個嗑金虐人，不嗑當肉排的遊戲而已，跟全@槍戰沒兩樣
