,Date,Score,reviews
399,2018年11月28日,4,希望多數角色可物攻魔攻 希望可以支援單手模式
356,2018年11月28日,2,排位機制 爛的可以 應該是強的配強的 爛的配爛的 每次都一個強 其他隊友四個爛到爆 一個強有用嗎 能一打五嗎 爛的已經很爛 輸也不會叫啦 強的配四個爛的 會幹死 一枝獨秀嗎
226,2018年11月28日,1,垃圾遊戲，網路每天都是良好的狀態 卻跟我說異常 要測網路的時候都跟我說出現小問題 到底三小問題啊？！
319,2018年11月28日,1,我的5隊5都很當，但網路沒有問題，還有我的好有全不見了，請你們儘速處理
318,2018年11月28日,3,如果東西不要這麼貴 遊戲不常自己關閉沒反應 我可以考慮給高分
317,2018年11月28日,1,更新後高楨率模式又不見了，是在歧視中階手機嗎
316,2018年11月28日,2,我覺得官方能讓腳色都能平衡，而不是為了賺錢失去平衡相對也會失去玩家
395,2018年11月28日,2,排位機制 爛的可以 應該是強的配強的 爛的配爛的 每次都一個強 其他隊友四個爛到爆 一個強有用嗎 能一打五嗎 爛的已經很爛 輸也不會叫啦 強的配四個爛的 會幹死 一枝獨秀嗎
131,2018年11月28日,1,"更新一些有的沒有,同隻愛里服裝要出幾隻顏色?排位名稱也學王者,既然要學王者怎麼不跟他們一樣開發王者吃雞遊戲。"
279,2018年11月28日,3,遊戲好玩，但檢舉系統腦殘，玩坦克吸收最多傷害，也死最多，還會被檢舉惡意送頭成功？
74,2018年11月28日,4,怪了 底下的留言很怪！配對到鬼隊友？如果你偶爾輸一兩場說隊友爛還說的過去！如果每次都輸你難道都不會覺得是自己的問題嗎？這麼巧？每次配對的對面都強你隊友的爛？
184,2018年11月28日,1,垃圾遊戲，網路每天都是良好的狀態 卻跟我說異常 要測網路的時候都跟我說出現小問題 到底三小問題啊？！
248,2018年11月28日,5,建議在排位選角方面，限定人物到達最熟練才能選取，無最熟練人物，不能打排位。在勝率方面的計算，希望排位是獨立計算，發送勝率時，在排位戰顯示的是排位的勝率
239,2018年11月28日,1,排位機制什麼時候要改 都沒在看評論 垃圾G社可以配到一堆鬼隊友我也是醉了
231,2018年11月28日,1,嗯……傳說開發人員是不是跟海綿寶寶作者一樣死掉了 突然終止就進不去 然後再扣我積分？？
285,2018年11月28日,5,這是一款真正的更新遊戲 第一個遊戲可以讓我更新到190%的 真棒哈哈
436,2018年11月28日,1,敵人7分鐘就投降 結果我被扣信譽點數 因為我玩輔助 0 0 0
53,2018年11月28日,4,如果可以不要一直把只會嘴炮的隊友配給我嗎？能不能開發一個黑名單系統，把莫生人拉黑讓我不會跟這些人匹配到？
638,2018年11月28日,3,有些英雄每次繳掉瞬移的時候，就會回到原地，可以請官方改一下嗎？
756,2018年11月28日,3,是不錯玩但是掛網的也太多了裝死的也有
755,2018年11月28日,5,這確實是好玩的，但是喜歡害人的太多，雖然我只是個低端，但，該怎麼玩我還是知道一點的
754,2018年11月28日,4,特產不要打不贏就一直嘴 自己廢要承認
475,2018年11月28日,3,更新後好友全沒了= =厲害 懶的說了 反正傳說就只能這樣
86,2018年11月28日,1,爛遊戲 每次更新沒一次準時 打排位說網路異常 閃退閃退在閃退 換了三個網路還在跟我說網路異常 請問是什麼意思 官方可以出來說明一下嗎 還有遊戲承諾是怎樣更新沒準時過的 傻眼
89,2018年11月28日,2,最近用手機開遊戲配對之後一直被斷連結是怎樣，訊號全滿，還顯示網路不穩？伺服器的問題還是我的，不懂欸，然後還一直被檢舉掛網，我也是醉了
199,2018年11月28日,3,遊戲配對機制可以在改進，還有檢舉系統真的爛，跟路人5排，隊友也打的很爛，結果4個路人同時檢舉我就被扣信譽積分了，傻眼……
93,2018年11月28日,1,玩家對戰有趣，需熟練角色即時操作反應，排位系統應該讓玩家預選主要以及次要路線，媒合組隊上才不會有問題，信譽系統需要在嚴格點。
115,2018年11月28日,1,更新後進去遊戲不到30秒就出現未知網路連接錯誤直接跳出去 試過關機重開換其他網路都一樣 根本不能玩?
517,2018年11月28日,2,遊戲更新顯示不到50MB 在這裡更新快1G 這是怎麼回事呢
122,2018年11月28日,1,技術性遊戲快變成台幣戰士遊戲了 新英雄要花錢才拿的到 而且夠無恥的 傷害根本做壞 勇都沒蘇無恥了
123,2018年11月28日,3,遊戲好玩，但普遍玩家素質低落 。 打越爛的越嘴砲，完全自信爆棚。 另外檢舉系統只有爛可以形容，形同虛設。
137,2018年11月29日,1,死官方現在我的好友全部都不見了是怎樣，還有動不動就閃退而且還重連不回來，愛里的新造型根本就是換顏色而已還賣那麼貴有沒有良心啊缺錢的廢物
142,2018年11月29日,5,更新之後變得很不順畫質也變的沒比以前好請改進，不然平安京可能等著我
180,2018年11月29日,2,怎麼打完一場，最後讀取會卡住？然後退出遊戲重開才會正常。 而且以前的好友名單不見了，也無法重新加好友。 （使用HTC手機）
183,2018年11月29日,5,這是怎樣明明已經下載到最新了，系統還是說已公佈最新版本，要去更新，煩死了還有，開始匹配的時候，只要一匹配到人，當全部的人都按同意，倒數數字還在跑，最後系統顯示正在連線，請改進，不然這款遊戲馬上檢舉下架
82,2018年11月29日,4,希望可以用個平手 讓雙方不加也不扣 不然有時打太久 都贏不了 很無奈 還有點查看雙方裝備 會閃退
188,2018年11月29日,5,閃退問題頻繁，載入跟高效能的遊戲（舉凡吃雞）都沒有此問題，尤其是在跑條以及選角介面容易閃退。角色平衡有待加強，應該去思考各段位玩家為何不玩某些角色（綜合近期推出的新角和地圖觀的改動），而非頻繁的改變一隻角色的特性，動刀可以大，但不要複雜。
193,2018年11月29日,1,欸欸欸！這遊戲是更新更到壞掉是不是？！ 為何更新完我的積分減少了？ 我沒掛網阿 我網路好阿！ 我都沒有退出阿！ 阿給我減積分是衝啥小叮噹？ 這遊戲是超級不U 要改掉這遊戲的錯誤好不好？！ 這很誇張！
196,2018年11月29日,4,可以優化索尼的嗎？ 我的針數會亂跳1 和59 團戰還掉到30幾 用高針模式打這樣太不合常理了，請改善 我是哪XZP 上一帶的超旗艦
75,2018年11月29日,2,"至從更新2.0之後的版本卡頓問題嚴重，容易lag,越更新越lag請趕快優化改善，要不然真的想改玩平安京或王者之類的遊戲"
90,2018年11月29日,1,幹你娘 打牌位 給我安排垃圾? 觀念差 一堆掛網 怪隊友 又送 垃圾G社可以安排跟我實力一樣嗎 不然我真的很難做人 很難到我想目地 還有流暢度給我改回來 爛死
124,2018年11月29日,5,我自己雖然才玩了3個月，但這款遊戲帶給我非常完美的遊戲體驗，遊戲裡的角色以及地圖都設計的十分精美，每個角色都有自己的特色，幾個角色之間還會有關聯，雖然我只是一個新手，常常被對手虐爆😂😂😂，但【傳說對決】是我最最最喜歡的遊戲。
260,2018年11月29日,1,幹這次什麼更新要選角直接崩潰重連又說未知連線錯誤什麼鬼TMD最好賠我榮譽積分喔！
225,2018年11月29日,1,為什麼更新之後就看不到自己遊戲好友了？ 重登入好幾次都是一樣 希望改進
784,2018年11月29日,3,網路不穩還需花錢買穩定系統實在太扯了吧！
711,2018年11月29日,3,我真的很想都給你滿分，可是改版更新後也太多問題了吧
630,2018年11月29日,1,今天傳說有問題，一更新進去好友都不見了，還會自己登出畫面，再來說我中退，扣我5分真的很不爽!😠😠😠😠😠😠
598,2018年11月29日,5,這個遊戲太神了，更新可以到187%，更新類型遊戲!（數據被多吃好多……）
593,2018年11月29日,2,剛更新完就一直當機，未知連線錯誤，怎麼重開都是這個畫面，直接刪了
591,2018年11月29日,1,改版後變lag卡頓了，如果為了遊戲花俏變得lag，將會失去越來越多玩家
559,2018年11月29日,1,糞game媽的我更新遊戲更新了一個小時都還沒好，幹
