,reviews,Date,Score
95,超爛，今天強制更新後我在倒數第二貧只要按賭博就閃退,2017年3月7日,1
79,賽馬用燒餅將速度調慢然後在用勝負師套裝一次1000萬  好無聊  每次都在等還款日  每次的結果都一樣  希望可以豐富一點,2017年3月8日,3
85,"[報錯] 拉霸機fever酬賓錯誤,看完廣告片介面fever效果出現,但仍然要20000玩一次。另外經常錯誤彈出遊戲。",2017年3月8日,3
121,打工時間一直顯示錯誤 一定要改進,2017年3月8日,3
133,更新完  按賭博就閃退,2017年3月8日,2
149,遊戲性不錯但容易有當機問題,2017年3月8日,3
176,其實賭馬就能輕鬆通關,2017年3月8日,5
177,常玩到一半卡住不動,2017年3月8日,1
200,這遊戲很有創意,2017年3月8日,5
204,打工一直顯示手機時間出錯…,2017年3月8日,3
207,十級不太夠玩,2017年3月8日,5
217,超無聊，都預先 set 定晒，仲玩？,2017年3月8日,5
234,拉霸一中獎就當機,2017年3月8日,1
250,每次都欠一大堆債aa~,2017年3月8日,5
280,爛死了，都不會贏,2017年3月8日,1
394,還不錯完,2017年3月8日,3
433,好好玩,2017年3月8日,5
443,有趣的遊戲,2017年3月8日,5
451,不好玩,2017年3月8日,1
475,很好玩,2017年3月8日,5
479,好好玩,2017年3月8日,5
600,好玩,2017年3月8日,5
602,好玩,2017年3月8日,5
610,好玩,2017年3月8日,5
617,好玩,2017年3月8日,5
81,遊戲創意不錯 不過太容易玩了 一日就已經開哂10關影片 都仲有過億 期待再更新難少少既遊戲,2017年3月9日,5
88,為什麼更新之後就不能離線玩拉霸了?進去之後選完押注金額就出現錯誤然後閃退,2017年3月9日,3
91,更新後變的不穩定 尤其在拉霸跟刮刮樂 容易當掉並跳出遊戲 請盡快改善,2017年3月9日,3
110,希望送禮可以一次送很多個，不然要一個一個按很麻煩,2017年3月9日,4
117,今天更新後玩拉霸和彩券一直閃退,2017年3月9日,3
125,如果拉霸機錢多一點錢就好   了,2017年3月9日,4
128,娛樂取向的賭博遊戲，佛心免費但是又有內容啊！,2017年3月9日,5
136,拉霸會閃退  怎麼賺錢啊,2017年3月9日,1
142,殺前期前期望能看到他也,2017年3月9日,5
143,每次拉霸活動玩到一半就當掉，能夠改善嗎,2017年3月9日,1
157,拉霸fever看不到廣告影片,2017年3月9日,3
167,每次拉霸就當掉,2017年3月9日,3
174,沒說很好玩 一直都欠債,2017年3月9日,3
201,有趣，但每次拉霸時都會卡住。,2017年3月9日,5
206,很可愛超好玩的www,2017年3月9日,5
242,賽馬太難玩了，失敗的機率太高,2017年3月9日,3
360,垃圾遊戲，真的廢物，根本玩不了,2017年3月9日,1
365,好玩又有趣,2017年3月9日,5
371,給我錢啊,2017年3月9日,5
441,還不錯,2017年3月9日,3
442,不錯的遊戲,2017年3月9日,5
447,太好玩了,2017年3月9日,5
449,只有好玩,2017年3月9日,5
450,So Q,2017年3月9日,5
456,太好玩了,2017年3月9日,5
457,太難玩了,2017年3月9日,3
473,怕沒錢,2017年3月9日,3
601,ok,2017年3月9日,5
606,彩卷BUG？,2017年3月9日,5
608,好玩,2017年3月9日,5
619,Good,2017年3月9日,5
626,很好,2017年3月9日,5
101,很棒，可惜我附完第一筆錢反抽到12萬欸，看來要慢慢還了,2017年3月10日,5
114,欠債可以不用那麼多 謝謝 再新增多一點賭博遊戲,2017年3月10日,5
152,記住這是遊戲 現實不要用賭博來還債????,2017年3月10日,5
160,原本連一顆星都不想給,2017年3月10日,1
163,經常有廣告彈出，廣告令整個遊戲外觀較差，請盡快改善，謝,2017年3月10日,3
247,西望可以講話換老婆,2017年3月10日,4
265,拉把機會當機,2017年3月10日,4
286,好玩，可惜一兩天就玩膩了,2017年3月10日,4
356,讚！好玩又有趣！,2017年3月10日,5
373,難度有點高,2017年3月10日,4
409,加油，可是可不可以欠債。,2017年3月10日,5
418,好好玩喔,2017年3月10日,5
437,畫風好可愛??,2017年3月10日,5
453,很ㄅ,2017年3月10日,5
471,按賭博就閃退是要玩什麼??,2017年3月10日,3
478,奈斯好玩~,2017年3月10日,5
516,很好玩,2017年3月10日,5
519,滿好玩的,2017年3月10日,5
566,好完,2017年3月10日,5
590,敲好玩,2017年3月10日,5
658,好玩,2017年3月10日,5
676,不錯,2017年3月10日,4
686,不錯,2017年3月10日,4
693,好玩,2017年3月10日,5
720,哈哈哈,2017年3月10日,5
749,好玩,2017年3月10日,5
774,好玩,2017年3月10日,5
775,ㄢㄢ,2017年3月10日,5
778,??????????,2017年3月10日,5
780,Hugh,2017年3月10日,4
783,Good,2017年3月10日,5
94,剛剛發現一個調快老婆打工的方法 就是一直點螢幕時打工時間會變少?? 如果不想花金羽毛又很無聊的話可以試試這方法,2017年3月11日,4
112,爛遊戲！ 玩拉霸一定就會當掉卡住挑出 每次玩都這樣玩不下去了,2017年3月11日,1
132,明明這麼簡單的遊戲 我怎麼一直破產蛤??????  真的是很棒,2017年3月11日,5
141,好玩但賽馬能中紅色的機率很少,2017年3月11日,5
194,買XX彩0元一張no100,2017年3月11日,5
205,非常好， 還可以做youtuber,2017年3月11日,5
208,很有創意的遊戲 但一直負債真的好累????,2017年3月11日,3
269,你們有發現那些人都是鳥嗎?,2017年3月11日,5
270,爛死了，討債鳥人還會罵髒話,2017年3月11日,1
284,賭馬中獎機率太小,2017年3月11日,1
287,超棒的，不過還債速度有點慢,2017年3月11日,5
337,遊戲很好玩，趣味感十足，可惜有點美中不足的，,2017年3月11日,4
348,概念不錯，很有趣，但內容還是刻板,2017年3月11日,5
349,超級好玩！,2017年3月11日,5
363,賭博機好玩,2017年3月11日,5
364,蠻寫實的遊戲,2017年3月11日,5
408,非常好玩喔,2017年3月11日,5
424,有創意的遊戲??,2017年3月11日,4
434,好玩，跑數度日,2017年3月11日,5
438,很好玩的遊戲,2017年3月11日,5
440,錢太少,2017年3月11日,1
465,繼續保持,2017年3月11日,5
466,Good game,2017年3月11日,5
