,reviews,Date,Score
0,這遊戲是要（花錢）才贏的過人嗎，我50等了籃板完全搶不到,2018年12月7日,1
1,我使用電腦的BlusStacks軟體來玩這款遊戲 但進去螢幕都是白色的 重下也是一樣 有辦法解決嗎? 解決後給五星好評,2018年12月20日,1
2,帳號不見了 要如何找回 有有戲id 之前都是按一鍵注冊的如何找回,2018年12月6日,1
3,問一下，為啥我用夜神模擬器下載後，進入遊戲時，馬上跳出來主畫面,2018年12月22日,5
4,CPU 電腦玩家的智商可不可以高一點 TMD遊戲時間78短 死不傳球 有空檔又不出手 助攻有夠78難拿 最難的不是對手 而是擁有87豬隊友 ※這遊戲其實練等沒意義 誰錢多誰強 就醬,2018年12月25日,1
5,不要強調課金買角色好嗎？ 為何不能讓其他角色也有變強的機會？你可以賣升級卡或進階卡啊？ 像我就喜歡霍華德人物，卻弱到爆，只能玩醜死了的大金剛，你遊戲號稱福利屎呆兒，卻一點都不自由！ 玩兩年第一次發言。,2018年12月5日,3
6,生涯挑戰，同隊電腦都只在傳球沒有要進攻，同時又要玩家完成一些任務需要隊友的支援，但是有只能在那邊傳球，需要完成助攻數，但電腦接到球有不進攻一直傳。這樣怎麼可能完成的了三顆星？,2018年12月8日,3
7,"這遊戲越来越好,我玩了接返4 年，看看它更新。希望會更好，但大部分都要充，因为不充就不能和天梯的籃板打😥",2018年12月21日,4
8,希望升級的材料給多一點 不然都卡在A. 人物多一些高鑽石的新角色,2018年12月5日,3
9,爛死了每次只要打到第3顆天梯都遇到強的不用玩阿,2018年12月10日,1
10,你們連線品質可以再爛一點，用wifi還能一場比賽斷網好幾次,2018年12月18日,1
11,可以把那些都不肯傳球的人直接鎖帳號嗎？ 害我天梯一直輸,2018年12月25日,1
12,遊戲公司為了賺錢一直出櫻木，然後玩家就抗議籃板都櫻木再搶，於是就開始改奇怪的板點，遠板就算了也符合真實。但板點改這麼低…最高點不能搶板，搶籃板比慢跳的，等球快落地才是板點。沒看過這麼奇怪的！ 第一次玩籃球遊戲搶籃板是比慢比矮的…彈跳這項能力完全沒啥用處了，所以補扣『橘』色技能也變的跟廢物一樣……然後每次改版玩遊戲都lag的跟什麼一樣。遊戲公司永遠說是玩家的問題！！！,2018年12月9日,2
13,為甚麼我充了60點卷但我沒有拿到60點卷並扣了我13元,2018年12月12日,3
14,很好玩的遊戲，希望能一直營運下去,2018年12月26日,5
15,為什麼我轉盤幸運直到100了都抽不到稀有的大獎,2018年12月14日,1
16,訊號很好 但連線不順,2018年12月7日,2
17,為何我的帳號莫名其妙的消失了?? 我花蠻多錢的 只是幾個月沒玩進去變成創新角色??搞甚麼,2018年12月25日,1
18,為什麼我下載完之後卻不行打開來玩,2018年12月16日,3
19,都讓女的人物贏你當我是誰,2018年12月31日,1
20,如果有觀戰模式會更好，這樣會更知道怎麼比會比較好,2018年12月18日,5
21,剛更新完後不能登入喔！會一直跳回登入畫面,2018年12月19日,4
22,我儲值沒有成功給我加值我要退款,2018年12月29日,1
23,"快要比賽時就一直跳掉,又要重新登入",2018年12月8日,3
24,付款按到返回沒有拿到鑽石怎麼解決,2018年12月10日,3
25,第六站主線的第一個獎勵無法領取,2018年12月14日,4
26,為何進不去進去就跳出來,2018年12月9日,1
27,安卓系統的手機又不能玩了，重新下載也是一樣。,2018年12月27日,1
28,遇到儲職的跟本打不贏,2018年12月8日,1
29,活動多一點啦，一直這樣打很無聊欸,2018年12月9日,3
30,進不了遊戲評論個屁,2018年12月6日,1
31,有點真的不知道要說什麼抄截練習在練就很好抄，在跟人打的時侯明明在他三角以內抄真的打不掉根本就不用守好了，三分球明明素質不低投十幾球才中2～3顆反而一些空裝的人隨便投都中這是玩個芋頭蕃薯是吧。ID：我黑不是夢,2018年12月12日,3
32,課金爭太遠 普通人好難玩,2018年12月6日,3
33,開了不是白頻就是閃退,2018年12月21日,1
34,每次fb登入一定要重打帳號密碼嗎？,2018年12月24日,4
35,什麼時候才要出櫻木啊,2018年12月23日,3
36,有儲值的都打不過，沒儲值對有儲值就是廢物,2018年12月6日,4
37,為什麼儲了錢，遊戲裡面却沒收到，要怎麼處理,2018年12月7日,5
38,什麼人都有 爛的要命,2018年12月13日,1
39,匹配都要等超久,2018年12月15日,2
40,這次的更新我很喜歡,2018年12月5日,5
41,我充了2次150台幣，只有一次成功，垃圾遊戲，垃圾體驗,2018年12月15日,1
42,很不錯喔！可以在更好的,2018年12月7日,5
43,反應的問題牛頭不對馬嘴的，趕緊收一收吧,2018年12月12日,1
44,假投真傳超廢,2018年12月14日,1
45,怎麼又登不進去了,2018年12月23日,2
46,對你好一點！給４星，技能商店賣得很貴，本來１７０多鑽石的變成３７０多貴鬆鬆！希望賣便宜一點！不過這次更新除了技能變貴以外都變好了！加油！努力做到最好最高境界好讓其他玩家覺得不用課金也可以好好玩！讓你正面對品價變得更多！OuO!加油！！！！！,2018年12月7日,4
47,有些問題希望貴公司改進 最近體驗遇到的問題，時常遇到對方或我方抄截掉球（場上無人持球狀態）時，第一時間無法撲球，其按鍵依然滯留在上一個狀態中（變成抄截及要球）約1～2秒；也遇到抄截或被抄截掉球時，造成其站位產生位移（不在原本的所停留位置）。最後常見有玩家原本在禁區移動，下一秒飄移到外線。,2018年12月18日,3
48,"12/6號更新後，進去第一次還沒有問題，隔天要進去，他就顯示""請求資源中""，求解",2018年12月7日,4
49,時效性 商品全不見了,2018年12月6日,4
50,不能跟好友玩,2018年12月23日,2
51,好完很有趣,2018年12月29日,5
52,亂改,2018年12月7日,1
53,騙錢的遊戲,2018年12月23日,1
54,北七,2018年12月19日,1
55,好坑,2018年12月5日,3
56,無聊的遊戲,2018年12月5日,5
57,還不錯,2018年12月9日,4
58,我進不去,2018年12月16日,1
59,很好玩,2018年12月22日,5
60,超好玩,2018年12月24日,5
61,坐在醋,2018年12月28日,5
62,更新完之後變得好卡(´-ι_-｀),2018年12月19日,1
63,支付失敗？？？249港幤google 收了你一句支付失敗就算？？？？,2018年12月22日,1
64,在唷,2018年12月7日,5
65,喜歡,2018年12月14日,5
66,好玩,2018年12月28日,5
67,棒,2018年12月29日,5
68,單排位自動選隊友的公平性極差 常常50級配隊到兩個不到10級的 對面三個滿等 一個滿等虐菜的遊戲 真的不建議剛進的新手來玩 機制太差了,2018年11月11日,1
69,極度建議新手別玩此遊戲，如果你是客金玩家請進入，如果不是請小心排位，如果打球不給力，會有客金玩家私郵件噴你，並且勸退遊戲，雖然他打的比我爛，但人家是客金玩家，我猜客服也不會理我的回應,2018年10月9日,1
70,之前我也出現過和大家遇過的一樣的白畫面 進不去遊戲就跳出 其實原因是下載的主程式在SD卡裡面 只要移動到內部空間就可以玩了 希望大家看到有很多幫助 就是說程式要在內部空間,2018年9月22日,5
71,遊戲公司是不是有比以前偷懶許多 最近回遊 從以前的不會閃退到現在每一場都閃退. 這遊戲很棒別這樣 做等大金剛,2018年10月8日,5
72,每次遇到外掛的玩家網路都卡住然後我再登入遊戲就收到扣球評 請問這遊戲是不是壞掉了,2018年10月21日,1
