,Date,Score,reviews
798,2017年10月12日,4,系統說這個遊戲會傷害手機會竊取個人資料
796,2017年10月12日,5,可以出可以跑去別的城鎮嗎！地圖大一點而且還要家跟馬
797,2017年10月13日,4,"我是S125,一阿奈一，請問一下，我人物盔甲已經八皆了，條件也符合，但是，卻沒辦法覺醒，可以幫我查一下嗎？"
760,2017年10月13日,5,A不知道戰鬥力再地宮如糞土
794,2017年10月13日,1,我S145角色怎不見了，更新完進不去，錢也花了，這是坑錢嗎？
793,2017年10月13日,4,請問這兩天有改版嗎！為何我遊戲都無法登入伺服器
759,2017年10月13日,4,今天發現BUG 昨天升好的戰力存好的折扣 今天早上登入全部回朔... 買了冰蝠禮拜開了也沒增加 部分東西回朔...鑽石也沒回朔 這樣辛苦升好累哦
756,2017年10月13日,5,請問要維修之前，是都不會先公告會臨時維修嗎？ 每次玩到一半 就突然來個『伺服器維護中』真的很肚爛呢？
748,2017年10月13日,1,為什麼我的帳號被鎖住，有看到角色點選卻不能玩，還跑出重新選角色
795,2017年10月14日,1,很誇張的遊戲，建議不要玩，從昨天遊戲斷線後重登，介面就是請重新創角，請線上的好友幫忙查看，我的角色從男的變女的，從83等變成1等，戰力從兩千五百多萬變成兩百多萬，而且還沒有名字，我回報客服，客服一直跟我鬼打強說修好了，但我就是登不進去!!
792,2017年10月14日,1,常 lag  而且 我的礦場 寵物列表是空的 不能挖礦 虧很大
785,2017年10月15日,5,麻煩一下S9王者卡住了幫忙修復一下
532,2017年10月16日,3,一直卡在進入遊戲的畫面，進不去遊戲，已經反應第三天了，都沒有解決的方案
687,2017年10月17日,5,好玩 好玩
601,2017年10月18日,5,讚--第一次玩到這樣好玩的
572,2017年10月18日,1,沒有，就只是不喜歡
569,2017年10月19日,5,好好玩，多點送東西吧
781,2017年10月1日,1,新手不管到那都被卯起來殺 鳥爆了
735,2017年10月1日,1,一個只會一直吃玩家錢但是超垃圾的遊戲，活動越改越賤老玩家跟本不想玩下去。有意思嗎？還要一直卡一直卡。每個服活人不計小號平均就30個。改得真好。天天都是卡在0%登入不了。
770,2017年10月1日,5,如果技能的等待時間能縮短一點就好
640,2017年10月20日,1,騙錢的遊戲
494,2017年10月20日,1,晚上2990我儲2次我剛儲值卡2990怎麼沒看到鑽
682,2017年10月20日,5,讚讚讚
683,2017年10月20日,5,好玩
573,2017年10月20日,5,好玩 也會一直送往東西
609,2017年10月20日,5,好玩 也會一直送往東西
702,2017年10月20日,5,好玩好玩
673,2017年10月21日,5,超好玩，有看到的朋友們，一定要下載！！！
791,2017年10月21日,3,能賺鑽石的地方及給的數量有點少
641,2017年10月21日,5,好玩
500,2017年10月21日,3,真的 甚麼遊戲啊！ 玩3分鐘 垃圾就爆滿 500MB多 他**作者是怎樣 發明這個遊戲出來 玩幾分鐘了垃圾就爆滿
610,2017年10月21日,5,遊戲超好玩的
605,2017年10月21日,5,翅膀很華麗，很喜歡
681,2017年10月21日,5,好玩
719,2017年10月22日,5,好玩
604,2017年10月22日,5,"刚玩不太懂,但十分暢顺.👍"
563,2017年10月22日,3,給的裝備太少也太低
568,2017年10月22日,5,在無聊時帶出的娱樂
564,2017年10月25日,5,無聊加減玩吧！
498,2017年10月26日,1,雖然系統上還算好玩，不過很多場境活動特別為挑人爭執發動戰爭而設！令到遊戲娛樂性超大幅度下降甚至全服反目成仇，活動策略人應該去自我請辭下岡不要再累人！！！
536,2017年10月26日,1,儲值吃錢的破遊戲 一堆活動亂回溯
497,2017年10月27日,2,飛行寶藏箱子太少，也沒有公會共享，戰力太低根本就都不用玩
527,2017年10月27日,5,能送玩家免費的VIP會更好
565,2017年10月27日,5,能送玩家免費的VIP會更好
668,2017年10月27日,5,Very good
621,2017年10月28日,5,讚！
534,2017年10月28日,4,整體上來不錯，但是職業能在多一點更好
600,2017年10月28日,4,不錯玩，我滿推薦
653,2017年10月28日,5,很多樣化
666,2017年10月28日,5,超好玩的
704,2017年10月29日,5,讚 讚
632,2017年10月29日,5,好像好很好玩
727,2017年10月2日,3,高級物品都很難收集。不然就是花大錢。 舊服沒多少活人新服還拼命開。 跨服戰也不分級別。大亂鬥。新服的玩家能跟20_30幾億戰力的骨灰玩家比？ 開遊戲賺錢是正常的但是不要把玩家當白痴提款機 好的遊戲才能吸引玩家。留在玩家。不要心存能撈多少算多少的態度經營遊戲。 真心喜歡你們的遊戲。也希望你們能讓玩家願意留下來支持你們
531,2017年10月30日,3,該反應的眾多玩家都反應了，不予再置評……加油吧！
645,2017年10月30日,4,不錯玩
560,2017年10月30日,5,超好玩我五天就十萬了
699,2017年10月30日,5,good
663,2017年10月30日,5,good game
581,2017年10月31日,4,想要儲值沒辦法用
712,2017年10月31日,5,好玩
711,2017年10月31日,5,GOOD
566,2017年10月31日,4,不錯的憂指遊戲
698,2017年10月31日,5,喜歡
684,2017年10月31日,5,好玩
749,2017年10月3日,1,這遊戲品味真他嗎拉雞，排版亂成這樣是要怎樣玩，角色也是醜的沒下限
786,2017年10月3日,1,還要等登入會員 我沒有會員就不用玩了
740,2017年10月3日,3,我是112服 lD 7690134 的玩家 今天早上 07:20 購買300元儲值 卻沒儲值成功 有收到購買儲值成功信件 請麻煩處理嗎？
728,2017年10月3日,5,之前遊戲很順，怎麼現在一直出廣告，我不要，請關掉可以嗎，若不改善想玩的心就要消失，要去玩別的遊戲了
778,2017年10月4日,5,為什麼我玩到第六等按套裝都按不了
782,2017年10月4日,1,教學那邊就已經卡死了，點又點不到，就一直卡在那邊，點別位又沒反應，也沒直接跳教學的功能
743,2017年10月6日,4,成長基金買了只成長到五十等買了有點不划算喔，我買了但生到要70等卻沒有成長基金了 不過還是不錯玩的遊戲很讚
763,2017年10月7日,5,遊戲連線品質真的很糟糕  等處理好在給5星
772,2017年10月7日,4,可以用黑鑽買體力嗎
754,2017年10月7日,1,裡面賣的東西不知道是在貴幾點的，根本完全是個V I P制手遊，伺服器也時常不穩走路給我太空漫步，慢半拍 要人儲值結果給的回饋那麼爛，坑人糞Game
799,2017年10月8日,1,廣告幹嘛都偷別的遊戲的畫面 之前玩過 課金爛game一枚
757,2017年10月8日,4,遊戲常更新不錯玩但V15要登入官網竟一直說無此帳號怪怪
777,2017年10月8日,1,手機重灌後無法登入了，詢問客服處理也沒回應，有綁定手機，有用google儲值，都沒了(︶︿︶)
742,2017年10月8日,1,爛死了，為何結拜副本卡關卡在15關打不上去，王也有死，時間還一分多鐘，也從安裝遊戲打還是一樣問題，就都卡在王死了然後沒獎勵的畫面，要出去只能放棄關卡，放棄了也只能一直卡在15關卡，可不可處理好阿！很爛ㄟ
758,2017年10月8日,1,更新太久了 我又不知道怎麼玩 你也沒有介紹 那我要怎麼玩 不用心
773,2017年10月9日,5,這遊戲太棒了希望可以有更多活
529,2017年11月10日,1,貴公司6-7天前更新係統錯亂，讓玩家寵物，裝備失去功能，敢問貴公司更新設備怎沒辦法把客服員工順便換一換，客訴，問非所答，一堆寵物，裝備歸0客訴請貴公司歸還（不是賠償）7天了一個帳號查7天（叫我耐心等待）等7天了，請問貴公司的艾肯團隊是艾肯啦啦隊嗎只出一張嘴，查7天（吖婆生小孩也生出來了好嗎）貴請公司更高階主官主管移駕到貴公司的啦啦隊整治一下有戰鬥力，處理玩家的態度歸還速度能在7小時而不是7天，7天多少任務，活動，大部分玩家影響2天，我卻到今天7天一堆東西都沒歸還，電話如同虛設打7天沒人接，請問公司有問題嗎，儲20萬在貴公司算小角色問題拖7天也該輪到處理了吧，
483,2017年11月10日,1,貴公司6-7天前更新係統錯亂，讓玩家寵物，裝備失去功能，敢問貴公司更新設備怎沒辦法把客服員工順便換一換，客訴，問非所答，一堆寵物，裝備歸0客訴請貴公司歸還（不是賠償）7天了一個帳號查7天（叫我耐心等待）等7天了，請問貴公司的艾肯團隊是艾肯啦啦隊嗎只出一張嘴，查7天（吖婆生小孩也生出來了好嗎）貴請公司更高階主官主管移駕到貴公司的啦啦隊整治一下有戰鬥力，處理玩家的態度歸還速度能在7小時而不是7天，7天多少任務，活動，大部分玩家影響2天，我卻到今天7天一堆東西都沒歸還，電話如同虛設打7天沒人接，請問公司有問題嗎，儲20萬在貴公司算小角色問題拖7天也該輪到處理了吧，
484,2017年11月10日,1,聯盟寶藏等隊長進去  結果等隊長太久沒開始我出來  結果就算玩一次了  後來再試一次  又是一樣  現在是怎樣?
493,2017年11月10日,1,我79服的角色登不進去 其他服的卻可以登入 怎麼會這樣 請盡快改進
