,Date,Score,reviews
613,2018年10月11日,1,魔法城堡20F根本過不了關，設計遊戲若存心讓玩家無法過關拿禮物，不但無法抒壓反而玩到厭煩想移除遊戲！！
785,2018年10月11日,4,能將火焰贈送給朋友更好
677,2018年10月11日,1,有時候顏色球安排真的安排的蠻欠扁 連續一樣的顏色好幾個 重點是當下還完全沒那個顏色可消
799,2018年10月12日,1,很容易按到鑽石，快點還我鑽石，不然我就刪了遊戲。
593,2018年10月13日,1,網路沒有問題，所有App 都可以連網，只有這個遊戲App 一早上一直登入失敗，不知道搞什麼鬼？ 一直都有很多小問題，現在連登入都有問題，再繼續這樣下去就只好解除安裝換別的遊戲玩了
599,2018年10月13日,5,已經玩到400多關了 也沒花過半毛錢啊 遊戲又沒有逼你買道具== 很好玩的遊戲 明明就是很多人沒耐心沒技術
631,2018年10月13日,4,2018.10.14 pm1400 因為你們的重整，我的秘密打到400萬 卻不見了，但還是沒收我的紅寶石13顆跟道具
636,2018年10月13日,3,"很難過關，道具又少!要一直花鑽石(也不見得過的了關),為什麼二次的火燄連擊的道具一定要在遊戲一開始的第一發和第二發，為什麼不能讓玩家選擇何時使用?"
637,2018年10月13日,3,昨天，今天進去玩，無法玩直接就跳出來了，程式有問題嗎？是怎樣啊？還是一樣進去了，一樣直接跳出來不能夠玩啊？程式請改善好嗎？
646,2018年10月13日,1,傻眼！檯子壞去嗎？連續二十幾顆泡泡都是同一顏色，別說是機率問題……買彩券都沒這麼準！！
698,2018年10月13日,1,我已進入游戲一個多小時，始終顯示用戶資訊失敗，已重新開機無數次，仍然無法進入游戲
732,2018年10月13日,1,怎麼無法進去，什麼不能連線，明明網路就正常😞😞
744,2018年10月13日,3,搞什麼啊!任務快完成了，怎麼登不進去，我三支都一樣，快給我個答案
697,2018年10月13日,2,10/14中午12：00遊戲無法連線登入
793,2018年10月13日,4,今天遊戲一直無法連線上去
792,2018年10月13日,2,針對今日，為何一直無法連線，明明網路沒問題，另一個遊戲可以連線啊，不優
