,Date,Score,reviews
76,2018年12月12日,1,更新後製作好的商品幾乎不見，浪費玩家的時間，不尊重玩家
37,2018年12月12日,1,這次更新太讓人失望了，製作商店的東西少太多了，麻煩快還來辛辛苦苦製作的商品
277,2018年12月12日,1,還我製作好的商品！！！！！！
90,2018年12月12日,1,為何更新後，製作的產品不見了…… 把東西還給我
47,2018年12月12日,5,更新後根本無法上線，重新安裝也不能上線，好幾天了也沒解決，感覺很差！
115,2018年12月12日,5,常做變化及用心維護的團隊，雖然常有維護不能使用的時候，但也表示他們的熱忱與努力。
194,2018年12月12日,1,為何更新後一直無法登入
51,2018年12月12日,1,更新後每個攤前的商品只餘少數，這樣更新意義在哪?每次越用弄越糟糕
52,2018年12月12日,1,為什麼把商店前未收的商品弄不見，請把商品回歸
195,2018年12月12日,1,之前做好的東西都不见了
196,2018年12月12日,4,無法登入玩，覺得很可惜
478,2018年12月12日,4,時間有點長，錢有點難賺，但很好玩
110,2018年12月12日,5,不用課金也可以玩得很開心，常常更新活動，主題是互助合作，很好玩~~
59,2018年12月12日,1,為何更新之後東西都不見了……把東西還來，不然就删除不玩了
60,2018年12月12日,4,1213更新後，堆積的成品都不見了！系統人員您發現了嗎？ 😤
61,2018年12月12日,1,搞什麼東西，做好的東西通通不見是怎樣，不收也不行嗎，爛死
398,2018年12月12日,2,外掛不抓
239,2018年12月12日,4,製作好的東西都不見了，很誇張
231,2018年12月12日,3,希望可以用錢幣買鑽石
675,2018年12月12日,5,很棒很好玩
234,2018年12月12日,2,為何更新完後辛苦製作好的成品不見了😡😡😡
716,2018年12月12日,5,非常好玩
515,2018年12月12日,1,"爛更新,東西都不見了"
670,2018年12月12日,5,遊戲多元化…團隊很用心…讚!!!
36,2018年12月12日,4,為什麼更新過後，之前生產的產品少了很多很多，我做好的草莓蛋糕都不見啦…
545,2018年12月12日,3,鑽石很難得到
199,2018年12月12日,1,不停更新至不能開啟
198,2018年12月12日,3,建議加入日夜場景的變化
197,2018年12月12日,1,給50鑽。。。原來是因為做好的東西不見😑😑
237,2018年12月12日,1,每次都要強制更新很煩
67,2018年12月12日,2,請恢复以前的顯示方式，三個我都不知道我到底有沒有東西
66,2018年12月12日,2,已完成與BT21遊戲任務，但沒收到二張扭蛋劵，有朋友已在兩星期前收到扭蛋劵了
72,2018年12月12日,4,改版完看到地上的沙糖變少了，後來重新拿取，發現沙糖變出來了，原來我誤會了，抱歉。
318,2018年12月12日,1,更新後產品不見了，還我
552,2018年12月12日,4,還不錯，剛開始玩
89,2018年12月12日,1,更新完商店製作好的成品都不見了，太惡劣
33,2018年12月12日,1,每次跟新一直閃都無法進入，很多人都不再玩，根本在放爛的感覺
312,2018年12月12日,4,很好的農場生活，可以實現過農場的樂趣
144,2018年12月12日,3,系統似仍不穩，偶而會卡住當機
13,2018年12月12日,1,為何活动说会釣到纪念金幣？都騙人！出海釣魚也總是溜走，如何達成任務❓！
20,2018年12月12日,4,為何更新後，所生產完成未收的東西都不見了一半以上，請恢復謝謝
155,2018年12月12日,1,為什麼做好的成品都不見了?這樣怎麼繼續玩?
10,2018年12月12日,2,無法登錄，一直顯示 網路中斷。 請確認網路連線 並重新登錄 我都重登好幾次了 而且網路滿格 還是無法進入遊戲
9,2018年12月12日,3,可以不要一直常需要更新嗎？沒幾天就要更一次，一直更新有點麻煩，且空間不足手機要怎麼辦？
23,2018年12月12日,1,這次更新後，所有還沒收進倉庫的產品少了非常非常多，幾乎是被清空了，請把我做好的成品還回來給我！！😤😤😤
317,2018年12月12日,1,為什麼更新後。。商品都不見了
26,2018年12月12日,1,店家做好的商品都不見很多，那我幹嘛一直做，就給你們搬空就好啊🔥
15,2018年12月12日,1,還我們製作好的東西，最好有的要製作4-5個小時的東西，列車來最好過得了，如果不還商品，各位玩家聯合拒玩且刪除吧～
7,2018年12月12日,1,12/13更新後，超過200個以上製造好的產品都不見，浪費玩家製造的時間，更不尊重玩家
5,2018年12月12日,1,1.做好的產品只顯示3個很不行!!!完全看不到做了什麼。 2.太常不事先通知就進行維修，對玩家來說非常困擾。 3.從2年前就提出的問題一直沒改善!!!『應該要「再次確認」是否要使用鑽石來增加生產線欄位或擴充農場!!!!!』已經好幾次不小心按到就莫名其妙失去好不容易集來的鑽石==###
432,2018年12月12日,4,無聊時解悶用
759,2018年12月12日,5,內容豐富
1,2018年12月12日,1,為什麼把商店前未收的商品弄不見，怎麼可以這麼不尊重玩家，請麻煩立刻把不見的商品還給我
130,2018年12月12日,5,你們太過份了吧！為何我開產線做的東西還沒收就不見了!
31,2018年12月12日,1,更新後地儲的食材都不見了，花那麼多時間做的，真的很誇張，還我食材，太不尊重玩家了
279,2018年12月12日,1,東西都不見了。浪費時間的遊戲...
429,2018年12月12日,4,以農立家
