,reviews,Date,Score
761,更新版本後看影片縮短時間的功能不見了，真糟糕!,2018年2月13日,3
780,請大大增加棲息地跟棲息地放寵物可增加好嗎?一直用到神殿寵物只能放一隻和開出新寵沒地方放或是一直開放寵物昌庫開到沒辦法放了，還花幾百元只能放幾隻寵，請你們直接開棲息地可多放五隻以上，不要只能放1.3.4隻好嗎?謝謝妳,2018年2月13日,1
765,為什麼昨天到今天一直登不進去，已經重新安裝也是一樣,2018年2月14日,1
762,一直說資訊錯誤 跟本沒辦法玩 試了十幾次 浪費時間,2018年2月15日,1
763,不是說8等會送15點，都要9等了都沒收到是哪招，騙人的嗎？,2018年2月15日,1
766,到8等了不???，如果之后有?，我?改回五星,2018年2月15日,1
768,淦你老師，靈木卡鶴操，跟line一起詐騙是吧！浪費我15分鐘，結果沒有點數。挖淦,2018年2月15日,1
777,已經九等了，到現在18小時，還沒收到15點，看官方是否24小時內會給點,2018年2月15日,1
760,很難玩， 一直叫人家買棲息地， 一直叫人家買寵物 ，但是又沒有地方放棲息地，整個搞笑，浪費時間。,2018年2月16日,1
774,請新手不要跳坑，要你花錢的時候很積極，遇到遊戲有問題都不解決,2018年2月16日,1
778,為了拿line點數而下載來玩，好玩的程度讓我意外，可是點數已經過了24小時了我都還沒收到??,2018年2月16日,5
769,什麼鳥遊戲？！我升到第七等就升不上去了，故意不讓我拿line points 的，對吧！真心建議大家不要玩，玩了會後悔！浪費時間！詐騙無良爛遊戲,2018年2月17日,1
773,為什麼我都十級了都還沒獲得點數，而且我今天才剛下載欸，根本還沒過24小時，希望趕快給我做個處理。謝謝,2018年2月17日,1
764,奇怪勒，我明明第一次從line下載，也玩到8級但是卻都不給我line point,2018年2月18日,2
770,TMD載了又不給玩  搞笑喔  15點有那麼難賺,2018年2月18日,1
771,點數已經拿到了各位可能要在等等我真的拿到了只要八等官方不會馬上送要一段時間,2018年2月18日,5
775,我沒辦法拿到點數，都9等了是系統出了問題還是你們打算欺騙消費者呢？,2018年2月18日,2
789,一開始LV8了卻沒有送line points$15，後來才送，只能給3分,2018年2月18日,3
772,我下載當天就已經升超過8等了，玩2天都已經升到11等了也沒給15點，會不會太扯,2018年2月19日,1
776,玩到八等外還有15分鐘的條件 然後要等一下就會發了 覺得不錯玩 但棲息地的關係 能收藏的寵物不夠多,2018年2月20日,5
