,Date,Score,reviews
549,2018年10月10日,4,沒時間玩的人不建議下載，是一個很深很深的坑。
471,2018年10月10日,3,肝裝太爛，所有遊戲內需要的東西通通在蛋池，沒有一隻角色能靠肝裝拿到趨近畢業的武器 201807更新 星環漩渦可以當拳套畢業武 整體來說有進步 201809更新 空之律者碾壓眾生，不斷推出專屬武器跟聖痕騙課 201810更新 策劃有點跟不上時代，大型活動贈送的獎勵很沒誠意，一昧拉長養成期並不會增加玩家黏著度
704,2018年10月10日,5,爽快 我沒有寫Diss
553,2018年10月10日,4,"日版語音主畫面的角色點選對話框時都沒聲音,中文配音則正常"
491,2018年10月10日,5,有時會當掉 訊息推播沒作用 整體來說很好玩。我的邀請碼SLRALH
616,2018年10月10日,5,非常的會想讓人繼續玩的遊戲
509,2018年10月10日,4,"日版語音主畫面的角色點選對話框時都沒聲音,中文配音則正常"
484,2018年10月10日,3,最近玩起來都很卡，換個畫面都要等很久，或換不過去~
407,2018年10月11日,1,沒有保底的話，中獎率根本是0%，這次月卡領完砍遊戲，第一次儲值手遊，也是最後悔的一次，就算都玩免課也沒玩過如此低機率的遊戲
551,2018年10月11日,4,天命之戰變成戰艦那裡按脫開會閃退…拜託快點解決TAT
496,2018年10月11日,1,垃圾遊戲不解釋，比神魔之塔還要垃圾。策劃媽死了沒，垃圾中的垃圾。不建議入抗，因為這是一個十分有，中國手遊血統的垃圾遊戲。
530,2018年10月11日,1,現在不管領什麼都會很lag，畫面卡在那邊
770,2018年10月12日,5,5LRSQ6 輸入邀請碼 一起玩吧～～
467,2018年10月12日,2,愛醬解說可以設定關卡中跳過嗎？一直被提示打斷，覺得煩
536,2018年10月12日,5,不用一定靠抽卡，慢慢農非洲也能變大佬，U質遊戲，推一個
554,2018年10月12日,5,一直點好感度一心角色會被踢(砍.揍)出遊戲，真的超有趣
687,2018年10月12日,5,十抽氯化鈉就是棒
794,2018年10月12日,5,讚！
668,2018年10月13日,5,超好玩 畫面也很精緻
698,2018年10月13日,4,"Good actions game, pretty girls"
689,2018年10月14日,3,遊戲明明登入了，說點擊任意處進入遊戲，結果點了進不去？
508,2018年10月14日,5,八重櫻，符華，卡蓮沒有交流語音和符華，卡蓮一些地方沒有觸碰語音和生日日期希望製作公司改善
724,2018年10月14日,5,玩到目前為止還不錯玩
640,2018年10月15日,1,禁字太多，莫名其妙
773,2018年10月16日,5,八重櫻女神！！！律化娜超漂釀！
712,2018年10月16日,4,為什麼降臨武器不能打了
793,2018年10月16日,5,好好玩!
587,2018年10月16日,4,這個版本每次都會斷線重連
579,2018年10月16日,5,崩2粉在這～～遊戲內容很棒 劇情很有意思 角色可♥到爆 繼續加油～
466,2018年10月16日,2,最近時常有登入問題 不知道是不是因為活動導致的 想登入領月卡獎勵都很困難 感覺買月卡很坑
753,2018年10月17日,5,操作感好，漫畫劇情佳，但吃手機效能。
495,2018年10月17日,4,遊戲很好玩，操作感十足劇情也很不錯，只是除了11點過後上遊戲比較順，不然平日假日早上上線都會卡住，有時候頁面正常但獎勵跟戰鬥都領不了或進不了，看公司要不要考慮做個分流之類，不然遊戲很好玩但都玩不了很難過啊
792,2018年10月17日,5,操作感好，漫畫劇情佳，但吃手機效能。
506,2018年10月17日,5,這遊戲是我玩這麼多遊戲玩的持續性最久，劇情、角色都很吸引，還是避免不了去課金... 不然補給機率真的挺低的(๑•́ ₃ •̀๑) 除了會爆肝以外 整體也很棒
