,reviews,Date,Score
0,最近好幾次在馳聘沙場中會突然中離並退出遊戲程式，其中顯示常常是網路的問題，但最近憑繁的發生，是否是遊戲哪裡出了問題該解決？,2018年11月24日,5
1,馳騁沙場的開放時間一直改是怎樣？12:00-17:00誰有這美國時間打？當人家都不用上班嗎？之前2場不是很好嗎請問？越改越誇張。,2018年10月25日,1
2,玩了一年，越來越爛，一直出禮包，問題都擺爛不解決。 共鬥打一次閃退一次，4G轉wifi也可以重啟。連選武將也可以閃退。 還有技能發展越來越不公平，力隊武將天生技(暈)也可以被反冰(暈)，還不如不要。 爛透了，幫軍團打完這期後，不完了。,2018年11月23日,1
3,我沒有購買高級28日禮包，但系統顯示我已購買並可以領取，可以幫我看一下是甚麼一回事嗎？,2018年11月16日,2
4,抽的武將都一樣 看到有人呂布不是儲值的嗎 希望多自動打競技場,2018年11月10日,3
5,"請問由昨天下午開始，無故彈出illegal program detected, 然後彈機是什麼意思？ 我肯定沒開過任何掛玩game的",2018年11月13日,3
6,"活動越來越不知所謂, 只管坑錢 . 無心做大科長, 最好不要玩.",2018年10月25日,2
7,為甚麼這樣白痴? 身處香港 用雙卡雙代手機 一張電話卡是外地的話 就出現 不是該地區用戶 不可登錄遊戲? 每次登入遊戲就一個先將手機外地電話卡關閉先可以成功登入。 這樣玩遊戲太滋擾了吧！,2018年11月16日,1
8,大致上ok，但為何唔比玩家創作角色，加入什麼陣營可供選擇！玩家有普通士兵打起升致將軍的話:因該比現在會好得多，現在玩了半天非常沉悶呀！太多複雜東西會導致玩家流失。🙁🙁,2018年11月15日,3
9,7-7一直會卡住，反應很久都沒改，是比較慢要打的人就不要玩嗎,2018年11月10日,2
10,使用HTC U11+ （18：9）無法全螢幕顯示，是設定問題還是無支援,2018年11月14日,5
11,我只想說這遊戲能不能在公正公平一些啊，越來越讓我無言了,2018年11月24日,5
12,痴能線，我用咗9O分钟都打唔过馳騁沙埸中的虎牢关二埸，之前不是閃退便是説连線不稳定，到依家每次打到最尾就無時間，叫我玩鬼呀，有耐心唔代表可以俾你玩架，正pK！GM唔該你跟進吓，你無時間就執笠算啦！,2018年11月15日,1
13,爛東西，現在連開啟遊戲都只能開出一片白色畫面，越來越爛,2018年11月15日,1
14,使用wifi還是會很容易重啟app,2018年11月16日,4
15,希望按五顆星有福利,2018年10月25日,5
16,打極都唔厭嘅遊戲,2018年11月26日,5
17,人物可以改八星的,2018年10月26日,5
18,三國的遊戲就是讚,2018年10月24日,5
19,每天都在閃退。其他遊戲又正常,2018年11月21日,1
20,舊帳號無法找回,2018年11月1日,1
21,欸突然不能玩了,2018年10月28日,1
22,人物不是很好拿取,2018年11月29日,5
23,蔥山小 乾 沙埸共戰 一直段線十次以上 是怎??? 在哭吧??,2018年11月12日,1
24,好玩，多開發新功能,2018年10月25日,5
25,根本不能玩,2018年11月28日,1
26,無法下載更新,2018年11月29日,1
27,活動是給課長玩的嗎？,2018年10月26日,2
28,修正後ok返。,2018年10月28日,3
29,好好玩喔！我喜歡~,2018年11月16日,5
30,"1自動作戰系統常常失靈,三分天下困難7-5那關,一開始有個指示,明明是往那一邊,自動作戰往另一邊,後來再玩一次發現往指示的那邊可以直接通過一關,往另一邊(自動作戰帶領的)出現很多小兵,不只這樣,在別的關卡自動作戰也很常出錯,反應不夠快,有無雙桶子會跳國過,這樣變成都要靠自己打,很難相信自動作戰。 2有些關卡設計太複雜,裡面的小關卡太多,即使戰力足夠也很難過關,還要隨時留意屬性的分配,需多次嘗試才能抓到訣竅通關。 不過遊戲真的很好玩有些地方需改進!",2018年11月25日,4
31,安裝好了。不能玩。,2018年10月25日,1
32,不用更新,2018年11月28日,4
33,好玩,2018年10月27日,5
34,好玩,2018年11月29日,5
35,OK,2018年11月29日,5
36,很棒,2018年11月29日,5
37,"我用以前gmail登入玩也有按連動帳號,裡面的進度現在完全都不見了,但是gmail的獎勵進度還在,現在這樣是要我重玩的意思嗎？",2018年9月23日,1
38,在大陸既然不可以玩，為什麼支持下載那麼大的遊戲內容。結果新手教程結束後就告知所在國家不可以玩。為什麼？,2018年9月21日,2
39,一直進不了遊戲，illegal programme has been detected? 所以無雙斬這個遊戲是犯法了？,2018年10月13日,1
