,Date,Score,reviews
266,2017年10月10日,3,玩一半就閃退......拜託快點改善！
256,2017年10月10日,5,我不知道要如何獲 紫色奇諾比奧？
245,2017年10月11日,1,哪有網路需求量那麼大的啊?
248,2017年10月12日,1,子女們都可以不要因為這樣
247,2017年10月13日,5,希望可以快點下載完
261,2017年10月14日,5,很好玩！！
318,2017年10月14日,5,不要出錯
257,2017年10月17日,1,免費只能玩四關
252,2017年10月17日,2,連線時常不穩
319,2017年10月19日,5,good
270,2017年10月19日,1,please add new gaming modes and more levels or everyone will find this game extremely boring😵😵😵😵😵
358,2017年10月1日,1,不好玩
309,2017年10月1日,5,瑪莉歐賽車手機版快點來吧
349,2017年10月1日,5,非常的好玩
435,2017年10月1日,5,很喜歡這個遊
281,2017年10月1日,2,今年4月已附費，今天换新手机後再裝遊戲，巳沒有所有記錄要再次附费，欺騙我們消費者，太過份。
203,2017年10月20日,4,只給4星 是因為 1 關卡單調 2內部動作設定明顯有(往後跑)可是 實際操作上 都沒有 只有看到瑪莉歐一直往前衝 3連線不穩 改善以上缺點 會增加為5星
240,2017年10月20日,5,很有趣，遊戲也不貴，付費一次永久玩到底，期待任天堂有新的手遊新作。
253,2017年10月20日,1,更新後過關就話連線有問題
295,2017年10月20日,1,沒辦法玩
296,2017年10月20日,3,會閃退
262,2017年10月20日,3,覺得bug太多，2-4蛤庫全部也只有17隻，1-2時間如果全部硬幣跟蘑菇都要吃到時間根本不夠.....
254,2017年10月22日,3,拉力賽一直跳出來！然後就減我的奇諾比奧！
302,2017年10月24日,3,嗨算好玩
299,2017年10月27日,1,廢廢廢廢廢廢廢廢廢廢廢廢
244,2017年10月27日,5,好玩~可是玩到一半都會跳出來，可以改進嗎！
558,2017年10月2日,3,唔好要人俾錢玩其他關卡，應該免費玩⚠⚠⚠
357,2017年10月2日,4,Good game
317,2017年10月2日,1,安裝好後說我手機時間誤差太大不能玩，莫名其妙！我高興手機快10分鐘不行嗎！！
353,2017年10月2日,5,ㄐㄐ
280,2017年10月2日,5,自從半價買之後玩了幾天沒什麼好挑剔的，用一個休閒遊戲的角度來說。但每次讀取都要花時間真的是有時等到不耐煩，希望可以改進
263,2017年10月31日,1,玩到一半退閃
310,2017年10月3日,5,一直都喜歡瑪利歐的遊戲 希望有更多新內容
316,2017年10月3日,1,閃退 比紅白機還爛
312,2017年10月3日,5,完完全全針對手機特性製作的MARIO，非常棒。
356,2017年10月3日,5,Jajtwmjjww
359,2017年10月3日,5,好玩
719,2017年10月3日,5,好玩  好玩
351,2017年10月3日,5,完完全全針對手機特性製作的MARIO，非常棒。
313,2017年10月3日,5,還有丢火球的功能  可以新增嗎！期待+拜託
355,2017年10月5日,5,還要購買畫面 是什麼意思啊？
285,2017年10月5日,1,今年5月買了，剛今天換機後又要我再購買
260,2017年10月6日,5,他有很多角色，我喜歡玩
294,2017年10月6日,4,good
282,2017年10月6日,4,終於有出新關卡，算有用心了。只是馬立歐的能力超爛，每次都超希望他被旗杆爆菊或爆蛋而死
200,2017年10月6日,5,好玩，但希望有多幾個功能，1可以創造關卡並可上傳關卡供大家下載2新增無限跑酷模式。
251,2017年10月6日,5,50% off now! Don't miss it.
246,2017年10月6日,5,我一直得不到黛公主，已經玩到10幾關了，也拿過30個彩色幣過，為什麼呢
