,Date,Score,reviews
30,2017年10月10日,3,有很多娃娃腳色但如何獲得方法點出來都是空白，到底什麼活動才能獲得都沒交代清楚一味出新娃娃有用歐
678,2017年10月11日,5,消磨時間的好朋友
704,2017年10月12日,3,Can't open the app.
679,2017年10月12日,5,因為很刺激
199,2017年10月13日,3,幹......爽，那些有玩的人超廢，我一下就第一名了我5836超大隻的。沒關係把我當做垃圾內容吧！
689,2017年10月13日,5,可是要Wi-Fi
761,2017年10月14日,5,太好玩了
599,2017年10月20日,5,很好玩  加油！
519,2017年10月21日,1,網路訊號明明超好卻一直顯示網路錯誤 ……
439,2017年10月21日,5,希望能真家聊天室
359,2017年10月22日,5,不會有廣告 但有時會玩膩
438,2017年10月27日,5,超好玩的  希望大家來下載
677,2017年10月28日,5,這遊戲超好玩，這作者超神的。
479,2017年10月28日,3,為什麼明明蘋果夠買撲克臉，還顯示蘋果不足？
136,2017年10月28日,5,哇塞，超好玩的！這是我有生以來玩過最好玩的蛇蛇遊戲了！！謝謝創作者～
350,2017年10月3日,1,我疑似在跟假玩家進行遊戲
188,2017年10月4日,1,我玩到一半掛掉 我要用影片復活 結果看完沒有復活 還給我跳掉
354,2017年10月6日,5,拜託 請讓金幣好賺一點
197,2017年10月7日,4,可以做離線和連線兩種模式也可以用一種模式賺錢  支持做者加油
108,2017年10月9日,5,非常好玩 只不過 那個邊界 碰到會死翹翹 感覺有點不太好 每次 都會去碰到 希望能改
593,2017年10月9日,4,好療癒的遊戲
771,2017年11月11日,5,我厲害
613,2017年11月11日,1,沒辦法登入！！
39,2017年11月12日,5,我覺得不錯可以打發時間但是有一個地方要改善就是希望可以與好友一起玩有出個組隊方式更好
583,2017年11月12日,5,元年我要睡了晚安喔。
534,2017年11月12日,5,超級好玩！！豐富多彩多姿
770,2017年11月14日,5,很好玩
215,2017年11月15日,5,請問一下 這個遊戲裡的其他人是不是電腦
499,2017年11月16日,5,真的很好玩又舒壓 打mesna即可獲得金幣!!!!
411,2017年11月19日,5,這是跟真人玩嗎
258,2017年11月19日,2,用fb的帳號進去，我已經登入了顯示出來是沒登入
769,2017年11月19日,5,超好玩的
410,2017年11月20日,5,我只能給你這個評論只能說，好玩
648,2017年11月24日,1,超糞遊戲
452,2017年11月25日,1,每次一進去就要求重新登入fb 還一直失敗??
409,2017年11月27日,3,買了造型，但很常不能用，出現普通的蛇，希望能改善
257,2017年11月27日,5,我覺得這遊戲真的非常好玩，一玩就上癮
477,2017年11月2日,5,偶是美女貞✌ 這遊戲超好玩 超療癒👍
