,reviews,Date,Score
0,有無搞錯抽咗好多次一UR都無,2018年12月16日,5
1,建議商店多出推薦每個腳色的牌組,2018年12月5日,3
2,這遊戲果然是不克金就不會贏的遊戲啊 不意外,2018年12月6日,2
3,"感觉没有还原最完整的决斗,只要三格很不好",2018年12月9日,4
4,超級好玩，但是常常說連線不上都自己投降,2018年12月29日,3
5,洗牌一直只係魔法卡魔法卡魔法卡三四回合也是一樣根本就不是給人玩,2018年12月9日,1
6,不知道為什麽google無法連上商城 其他都還不錯,2018年12月31日,4
7,巨神兵什麼時候出，格子能出五格,2018年12月14日,5
8,进入活动会闪退求快速决绝,2018年12月5日,5
9,說實話，有點意外，沒想到20張卡，4000點，三個怪獸區的玩法反而更好玩,2018年12月19日,5
10,潛艇機人 直接攻擊玩家 一直閃退 快點修理,2018年12月26日,3
11,容易卡住不動 打NPC的時候最嚴重,2018年12月20日,4
12,還不錯玩哦，請問在遊戲裡要怎麼綁定遊戲id呢，那可以用臉書綁定帳號密碼嗎？？,2018年12月31日,5
13,完全不能玩可以玩我就會給更多心,2018年12月9日,1
14,廢物遊戲87分不能在高,2018年12月30日,1
15,都不把路人會盪修掉,2018年12月4日,1
16,常常斷線，還有有些翻譯可以修正一下嗎？ 如：競技決鬥的勝敗場,2018年12月12日,3
17,好玩 除了有時會斷線沒什麼其他問題,2018年12月16日,5
18,"devs, I found a bug where when I got a card, it disappeared. can't find it in the deck editor.",2018年12月22日,3
19,希望改成一回合的限制秒數,2018年12月24日,1
20,一個不課金就不會贏的一款遊戲,2018年12月29日,2
21,媽的 牌位機制不配對同等的一下就被打爆^^,2018年12月7日,1
22,為什麼我之前的紀錄都不見了 變成說我要從頭開始（生氣！！,2019年1月4日,2
23,希望BF卡组出多几张牌,2018年12月15日,5
24,換了新手機之後 開上去就是黑畫面,2019年1月4日,2
25,好好玩 ! 活動很用心  一直有推新玩法,2019年1月4日,5
26,寶石越來越少了 有點難過,2018年12月4日,4
27,如何觀看街頭決鬥重溫,2018年12月4日,5
28,請大家多支持遊戲王,2018年12月12日,5
29,更新之後突然無法進入伺服器了,2018年12月16日,5
30,三星a7 2018 不能正常開啟遊戲,2018年12月21日,3
31,商店維護是怎樣2018/4/12是殺小,2018年12月14日,1
32,可惜舊紀錄無法找回,2018年12月16日,4
33,很好玩 但是沒有40張,2018年12月29日,5
34,希望可以拿到三神獸,2018年12月8日,5
35,不嗑金很難玩,2019年1月3日,1
36,很好玩但寶石太少,2018年12月29日,4
37,"不差,大包主流不禁就很白目",2018年12月12日,4
38,打發時間的好遊戲,2018年12月4日,5
39,套牌組三十張魔陷 抽完全都是怪獸卡 真佛心的抽牌系統\^。^/,2018年12月18日,2
40,改一改。戰鬥 被要求重開,2018年12月14日,3
41,可以隨時對戰很方便,2018年12月29日,5
42,連續斷線3場,2019年1月2日,1
43,之後５ds arc v link,2019年1月1日,5
44,新活動的卡不能使用,2018年12月15日,1
45,非常好玩 很耐玩,2019年1月2日,5
46,還可以，算不坑又能晚了,2018年12月24日,5
47,為什麼我的是上個版本的遊戲封面？,2019年1月2日,3
48,召喚王牌超帥,2019年1月3日,5
49,面白いケー厶!,2018年12月22日,5
50,垃圾遊戲 !,2018年12月22日,1
51,帳號資料遺失，有氪金,2018年12月25日,1
52,網絡又出問題，loading.......,2018年12月20日,3
53,挚爱青眼！,2018年12月15日,5
54,台湾服吗？想玩日服怎么弄,2018年12月9日,4
55,很酷，動畫很帥,2018年12月7日,5
56,請問為什麼我的資料不見了？,2018年12月25日,2
57,好玩!!,2018年12月22日,5
58,非常棒的一款游戏,2018年12月16日,5
59,Master Duel plz,2018年12月14日,4
60,和弟弟一起玩,2019年1月3日,5
61,期望，可以更好的。,2018年12月4日,4
62,为什么你们的问题我都没有：）,2018年12月21日,5
63,好遊戲，推一波,2018年12月27日,5
64,神遊戲,2018年11月30日,5
65,有黑暗大法師嗎？,2018年12月31日,5
66,可以加超量嗎？,2019年1月4日,5
67,回鍋玩家資料沒了...,2018年12月5日,1
68,情怀五星,2018年12月10日,5
69,重現童年,2018年12月13日,5
70,很好玩,2018年12月17日,5
71,很好玩,2018年12月26日,5
72,遊戲好玩,2018年12月24日,5
73,！！！！！！,2019年1月1日,3
74,神獸降臨然後就當了……什麼鬼！！？,2019年1月2日,3
75,nice,2018年12月1日,5
76,好玩,2018年12月1日,5
77,好玩,2018年12月4日,5
78,GOOD,2018年12月3日,5
79,棒,2018年12月12日,5
80,gd,2018年12月24日,5
81,好玩,2018年12月15日,5
82,ok,2018年12月16日,5
83,好,2018年12月18日,5
84,goodhhgh,2018年12月26日,5
85,xx,2018年12月22日,5
86,好,2018年12月25日,5
87,好,2018年12月26日,5
88,有時候感覺牌都沒洗一樣？？？？,2018年12月21日,1
89,……,2018年12月23日,5
90,這是我目前玩過畫面設計最有感覺的遊戲了，除了戰盤只有三格，其他都很完美！不過希望精簡一下卡包系統，有點不知道怎麼買,2018年10月26日,5
91,這款遊戲王遊戲非常讚，可是想問一下如果神之卡沒拿到還有拿到的機會嗎，因為沒拿到太陽神的翼神龍，不知道還有沒有重複的活動可以拿到的機會。,2018年10月19日,5
92,換了新手機 之前玩到54階的記錄都沒了 (後來給我找回 開始遊戲前按 傳輸資料 就ok了),2018年10月23日,5
93,能不能開放40張好不好啦 30張就不夠放我想要的卡～還有抽四張卡 能不能開放五張卡啊 融合也是一樣 場地也要弄,2018年11月12日,5
